
|  :dir | :prct | :len |               :low |              :high |             :close |  :dt-first |   :dt-last |
|-------+-------+------+--------------------+--------------------+--------------------+------------+------------|
|   :up |   0.2 |    2 |  92.37000274658203 |  92.55999755859375 |  92.55999755859375 | 1999-11-01 | 1999-11-03 |
| :down |   6.2 |    7 |  87.12000274658203 |  92.55999755859375 |  87.12000274658203 | 1999-11-03 | 1999-11-11 |
|   :up |   2.9 |    3 |  87.12000274658203 |  89.62000274658203 |  89.62000274658203 | 1999-11-11 | 1999-11-15 |
| :down |   5.5 |    7 |  84.94000244140625 |  89.62000274658203 |  84.94000244140625 | 1999-11-15 | 1999-11-22 |
|   :up |  13.2 |   13 |  84.94000244140625 |  96.12000274658203 |  96.12000274658203 | 1999-11-22 | 1999-12-08 |
| :down |   4.8 |    5 |              91.75 |  96.12000274658203 |              91.75 | 1999-12-08 | 1999-12-10 |
|   :up |  29.8 |   20 |              91.75 | 119.12000274658203 | 119.12000274658203 | 1999-12-10 | 2000-01-06 |
| :down |  12.6 |   14 | 105.80999755859375 | 119.12000274658203 | 105.80999755859375 | 2000-01-06 | 2000-01-14 |
|   :up |   9.0 |    4 | 105.80999755859375 | 115.30999755859375 | 115.30999755859375 | 2000-01-14 | 2000-01-19 |
| :down |  17.8 |   12 |  97.87000274658203 | 115.30999755859375 |  97.87000274658203 | 2000-01-19 | 2000-02-03 |
|   :up |  12.3 |    7 |  97.87000274658203 | 109.94000244140625 | 109.94000244140625 | 2000-02-03 | 2000-02-09 |
| :down |   5.7 |    2 |              104.0 | 109.94000244140625 |              104.0 | 2000-02-09 | 2000-02-10 |
|   :up |   1.9 |    2 |              104.0 |              106.0 |              106.0 | 2000-02-10 | 2000-02-11 |
| :down |  18.6 |   15 |  89.37000274658203 |              106.0 |  89.37000274658203 | 2000-02-11 | 2000-03-03 |
|   :up |   7.6 |    4 |  89.37000274658203 |  96.12000274658203 |  96.12000274658203 | 2000-03-03 | 2000-03-06 |
| :down |   6.1 |    2 |  90.62000274658203 |  96.12000274658203 |  90.62000274658203 | 2000-03-06 | 2000-03-07 |
|   :up |  11.5 |    6 |  90.62000274658203 |              101.0 |              101.0 | 2000-03-07 | 2000-03-14 |
| :down |   6.2 |    5 |  95.12000274658203 |              101.0 |  95.12000274658203 | 2000-03-14 | 2000-03-17 |
|   :up |   4.5 |    4 |  95.12000274658203 |  99.37000274658203 |  99.37000274658203 | 2000-03-17 | 2000-03-20 |
| :down |   2.1 |    2 |  97.37000274658203 |  99.37000274658203 |  97.37000274658203 | 2000-03-20 | 2000-03-21 |
|   :up |  14.9 |    5 |  97.37000274658203 | 111.87000274658203 | 111.87000274658203 | 2000-03-21 | 2000-03-27 |
| :down |   7.5 |    4 | 104.05999755859375 | 111.87000274658203 | 104.05999755859375 | 2000-03-27 | 2000-03-29 |
|   :up |   3.0 |    3 | 104.05999755859375 | 107.19000244140625 | 107.19000244140625 | 2000-03-29 | 2000-03-30 |
| :down |   3.7 |    2 | 103.37000274658203 | 107.19000244140625 | 103.37000274658203 | 2000-03-30 | 2000-03-31 |
|   :up |   2.8 |    2 | 103.37000274658203 |             106.25 |             106.25 | 2000-03-31 | 2000-04-03 |
| :down |  72.9 |   55 | 61.439998626708984 |             106.25 | 61.439998626708984 | 2000-04-03 | 2000-06-20 |
|   :up |  33.5 |   36 | 61.439998626708984 |               82.0 |               82.0 | 2000-06-20 | 2000-07-19 |
| :down |  20.9 |   22 |  67.80999755859375 |               82.0 |  67.80999755859375 | 2000-07-19 | 2000-08-08 |
|   :up |   9.5 |   13 |  67.80999755859375 |              74.25 |              74.25 | 2000-08-08 | 2000-08-14 |
| :down |  47.4 |   50 | 50.380001068115234 |              74.25 | 50.380001068115234 | 2000-08-14 | 2000-10-19 |
|   :up |  40.7 |   32 | 50.380001068115234 |  70.87000274658203 |  70.87000274658203 | 2000-10-19 | 2000-11-30 |
| :down |  70.8 |   40 |               41.5 |  70.87000274658203 |               41.5 | 2000-11-30 | 2001-01-09 |
|   :up |  55.9 |   39 |               41.5 |  64.69000244140625 |  64.69000244140625 | 2001-01-09 | 2001-02-16 |
| :down |  17.2 |   12 | 55.189998626708984 |  64.69000244140625 | 55.189998626708984 | 2001-02-16 | 2001-02-26 |
|   :up |   7.9 |    6 | 55.189998626708984 | 59.560001373291016 | 59.560001373291016 | 2001-02-26 | 2001-03-02 |
| :down |   5.1 |    6 | 56.689998626708984 | 59.560001373291016 | 56.689998626708984 | 2001-03-02 | 2001-03-06 |
|   :up |   7.1 |    4 | 56.689998626708984 | 60.689998626708984 | 60.689998626708984 | 2001-03-06 | 2001-03-08 |
| :down |  21.2 |   11 | 50.060001373291016 | 60.689998626708984 | 50.060001373291016 | 2001-03-08 | 2001-03-22 |
|   :up |  16.4 |    5 | 50.060001373291016 |              58.25 |              58.25 | 2001-03-22 | 2001-03-28 |
| :down |   6.5 |    4 | 54.689998626708984 |              58.25 | 54.689998626708984 | 2001-03-28 | 2001-04-02 |
|   :up |   2.0 |    2 | 54.689998626708984 | 55.810001373291016 | 55.810001373291016 | 2001-04-02 | 2001-04-03 |
