date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,47.61,47.61,47.61,47.61,0.0
2019-11-06T00:00:00.000Z,47.67,47.67,47.67,47.67,0.0
2019-11-07T00:00:00.000Z,47.58,47.58,47.58,47.58,0.0
2019-11-08T00:00:00.000Z,47.54,47.54,47.54,47.54,0.0
2019-11-11T00:00:00.000Z,47.45,47.45,47.45,47.45,0.0
2019-11-12T00:00:00.000Z,47.51,47.51,47.51,47.51,0.0
2019-11-13T00:00:00.000Z,47.41,47.41,47.41,47.41,0.0
2019-11-14T00:00:00.000Z,47.62,47.62,47.62,47.62,0.0
2019-11-15T00:00:00.000Z,47.74,47.74,47.74,47.74,0.0
2019-11-18T00:00:00.000Z,47.95,47.95,47.95,47.95,0.0
2019-11-19T00:00:00.000Z,47.54,47.54,47.54,47.54,0.0
2019-11-20T00:00:00.000Z,47.27,47.27,47.27,47.27,0.0
2019-11-21T00:00:00.000Z,47.05,47.05,47.05,47.05,0.0
2019-11-22T00:00:00.000Z,47.27,47.27,47.27,47.27,0.0
2019-11-25T00:00:00.000Z,47.76,47.76,47.76,47.76,0.0
2019-11-26T00:00:00.000Z,48.14,48.14,48.14,48.14,0.0
2019-11-27T00:00:00.000Z,48.49,48.49,48.49,48.49,0.0
2019-11-29T00:00:00.000Z,48.15,48.15,48.15,48.15,0.0
2019-12-02T00:00:00.000Z,47.69,47.69,47.69,47.69,0.0
2019-12-03T00:00:00.000Z,47.22,47.22,47.22,47.22,0.0
2019-12-04T00:00:00.000Z,47.5,47.5,47.5,47.5,0.0
2019-12-05T00:00:00.000Z,47.48,47.48,47.48,47.48,0.0
2019-12-06T00:00:00.000Z,47.81,47.81,47.81,47.81,0.0
2019-12-09T00:00:00.000Z,47.84,47.84,47.84,47.84,0.0
2019-12-10T00:00:00.000Z,47.74,47.74,47.74,47.74,0.0
2019-12-11T00:00:00.000Z,47.88,47.88,47.88,47.88,0.0
2019-12-12T00:00:00.000Z,48.25,48.25,48.25,48.25,0.0
2019-12-13T00:00:00.000Z,48.31,48.31,48.31,48.31,0.0
2019-12-16T00:00:00.000Z,48.54,48.54,48.54,48.54,0.0
2019-12-17T00:00:00.000Z,48.72,48.72,48.72,48.72,0.0
