date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,37.86,37.86,37.86,37.86,0.0
2019-11-06T00:00:00.000Z,37.72,37.72,37.72,37.72,0.0
2019-11-07T00:00:00.000Z,37.88,37.88,37.88,37.88,0.0
2019-11-08T00:00:00.000Z,37.91,37.91,37.91,37.91,0.0
2019-11-11T00:00:00.000Z,37.86,37.86,37.86,37.86,0.0
2019-11-12T00:00:00.000Z,37.78,37.78,37.78,37.78,0.0
2019-11-13T00:00:00.000Z,37.68,37.68,37.68,37.68,0.0
2019-11-14T00:00:00.000Z,37.8,37.8,37.8,37.8,0.0
2019-11-15T00:00:00.000Z,38.01,38.01,38.01,38.01,0.0
2019-11-18T00:00:00.000Z,37.87,37.87,37.87,37.87,0.0
2019-11-19T00:00:00.000Z,37.86,37.86,37.86,37.86,0.0
2019-11-20T00:00:00.000Z,37.75,37.75,37.75,37.75,0.0
2019-11-21T00:00:00.000Z,37.6,37.6,37.6,37.6,0.0
2019-11-22T00:00:00.000Z,37.69,37.69,37.69,37.69,0.0
2019-11-25T00:00:00.000Z,38.09,38.09,38.09,38.09,0.0
2019-11-26T00:00:00.000Z,38.19,38.19,38.19,38.19,0.0
2019-11-27T00:00:00.000Z,38.38,38.38,38.38,38.38,0.0
2019-11-29T00:00:00.000Z,38.12,38.12,38.12,38.12,0.0
2019-12-02T00:00:00.000Z,37.83,37.83,37.83,37.83,0.0
2019-12-03T00:00:00.000Z,37.59,37.59,37.59,37.59,0.0
2019-12-04T00:00:00.000Z,37.85,37.85,37.85,37.85,0.0
2019-12-05T00:00:00.000Z,38.0,38.0,38.0,38.0,0.0
2019-12-06T00:00:00.000Z,38.33,38.33,38.33,38.33,0.0
2019-12-09T00:00:00.000Z,38.23,38.23,38.23,38.23,0.0
2019-12-10T00:00:00.000Z,38.15,38.15,38.15,38.15,0.0
2019-12-11T00:00:00.000Z,38.22,38.22,38.22,38.22,0.0
2019-12-12T00:00:00.000Z,38.61,38.61,38.61,38.61,0.0
2019-12-13T00:00:00.000Z,38.48,38.48,38.48,38.48,0.0
2019-12-16T00:00:00.000Z,38.83,38.83,38.83,38.83,0.0
2019-12-17T00:00:00.000Z,38.87,38.87,38.87,38.87,0.0
2019-12-18T00:00:00.000Z,38.93,38.93,38.93,38.93,0.0
2019-12-19T00:00:00.000Z,39.06,39.06,39.06,39.06,0.0
2019-12-20T00:00:00.000Z,39.22,39.22,39.22,39.22,0.0
2019-12-23T00:00:00.000Z,39.19,39.19,39.19,39.19,0.0
2019-12-24T00:00:00.000Z,39.18,39.18,39.18,39.18,0.0
2019-12-26T00:00:00.000Z,39.26,39.26,39.26,39.26,0.0
2019-12-27T00:00:00.000Z,37.51,37.51,37.51,37.51,0.0
2019-12-30T00:00:00.000Z,37.43,37.43,37.43,37.43,0.0
2019-12-31T00:00:00.000Z,37.55,37.55,37.55,37.55,0.0
2020-01-02T00:00:00.000Z,37.56,37.56,37.56,37.56,0.0
2020-01-03T00:00:00.000Z,37.38,37.38,37.38,37.38,0.0
2020-01-06T00:00:00.000Z,37.45,37.45,37.45,37.45,0.0
2020-01-07T00:00:00.000Z,37.35,37.35,37.35,37.35,0.0
2020-01-08T00:00:00.000Z,37.45,37.45,37.45,37.45,0.0
2020-01-09T00:00:00.000Z,37.61,37.61,37.61,37.61,0.0
2020-01-10T00:00:00.000Z,37.55,37.55,37.55,37.55,0.0
2020-01-13T00:00:00.000Z,37.73,37.73,37.73,37.73,0.0
2020-01-14T00:00:00.000Z,37.86,37.86,37.86,37.86,0.0
2020-01-15T00:00:00.000Z,37.94,37.94,37.94,37.94,0.0
2020-01-16T00:00:00.000Z,38.35,38.35,38.35,38.35,0.0
2020-01-17T00:00:00.000Z,38.34,38.34,38.34,38.34,0.0
2020-01-21T00:00:00.000Z,38.2,38.2,38.2,38.2,0.0
2020-01-22T00:00:00.000Z,38.17,38.17,38.17,38.17,0.0
2020-01-23T00:00:00.000Z,38.38,38.38,38.38,38.38,0.0
2020-01-24T00:00:00.000Z,37.99,37.99,37.99,37.99,0.0
2020-01-27T00:00:00.000Z,37.41,37.41,37.41,37.41,0.0
2020-01-28T00:00:00.000Z,37.64,37.64,37.64,37.64,0.0
2020-01-29T00:00:00.000Z,37.52,37.52,37.52,37.52,0.0
2020-01-30T00:00:00.000Z,37.58,37.58,37.58,37.58,0.0
2020-01-31T00:00:00.000Z,36.95,36.95,36.95,36.95,0.0
2020-02-03T00:00:00.000Z,37.12,37.12,37.12,37.12,0.0
2020-02-04T00:00:00.000Z,37.48,37.48,37.48,37.48,0.0
2020-02-05T00:00:00.000Z,38.02,38.02,38.02,38.02,0.0
2020-02-06T00:00:00.000Z,37.79,37.79,37.79,37.79,0.0
2020-02-07T00:00:00.000Z,37.47,37.47,37.47,37.47,0.0
2020-02-10T00:00:00.000Z,37.59,37.59,37.59,37.59,0.0
2020-02-11T00:00:00.000Z,37.97,37.97,37.97,37.97,0.0
2020-02-12T00:00:00.000Z,38.33,38.33,38.33,38.33,0.0
2020-02-13T00:00:00.000Z,38.4,38.4,38.4,38.4,0.0
2020-02-14T00:00:00.000Z,38.4,38.4,38.4,38.4,0.0
2020-02-18T00:00:00.000Z,38.18,38.18,38.18,38.18,0.0
2020-02-19T00:00:00.000Z,38.35,38.35,38.35,38.35,0.0
2020-02-20T00:00:00.000Z,38.49,38.49,38.49,38.49,0.0
2020-02-21T00:00:00.000Z,38.13,38.13,38.13,38.13,0.0
2020-02-24T00:00:00.000Z,36.95,36.95,36.95,36.95,0.0
2020-02-25T00:00:00.000Z,35.65,35.65,35.65,35.65,0.0
2020-02-26T00:00:00.000Z,35.06,35.06,35.06,35.06,0.0
2020-02-27T00:00:00.000Z,33.81,33.81,33.81,33.81,0.0
2020-02-28T00:00:00.000Z,33.4,33.4,33.4,33.4,0.0
2020-03-02T00:00:00.000Z,34.28,34.28,34.28,34.28,0.0
2020-03-03T00:00:00.000Z,33.52,33.52,33.52,33.52,0.0
2020-03-04T00:00:00.000Z,34.65,34.65,34.65,34.65,0.0
2020-03-05T00:00:00.000Z,33.42,33.42,33.42,33.42,0.0
2020-03-06T00:00:00.000Z,32.74,32.74,32.74,32.74,0.0
2020-03-09T00:00:00.000Z,29.75,29.75,29.75,29.75,0.0
2020-03-10T00:00:00.000Z,31.01,31.01,31.01,31.01,0.0
2020-03-11T00:00:00.000Z,29.13,29.13,29.13,29.13,0.0
2020-03-12T00:00:00.000Z,26.06,26.06,26.06,26.06,0.0
2020-03-13T00:00:00.000Z,27.96,27.96,27.96,27.96,0.0
2020-03-16T00:00:00.000Z,24.0,24.0,24.0,24.0,0.0
2020-03-17T00:00:00.000Z,24.76,24.76,24.76,24.76,0.0
2020-03-18T00:00:00.000Z,22.48,22.48,22.48,22.48,0.0
2020-03-19T00:00:00.000Z,23.59,23.59,23.59,23.59,0.0
2020-03-20T00:00:00.000Z,22.67,22.67,22.67,22.67,0.0
2020-03-23T00:00:00.000Z,21.8,21.8,21.8,21.8,0.0
2020-03-24T00:00:00.000Z,24.07,24.07,24.07,24.07,0.0
2020-03-25T00:00:00.000Z,25.02,25.02,25.02,25.02,0.0
2020-03-26T00:00:00.000Z,26.59,26.59,26.59,26.59,0.0
2020-03-27T00:00:00.000Z,25.68,25.68,25.68,25.68,0.0
2020-03-30T00:00:00.000Z,26.03,26.03,26.03,26.03,0.0
