date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,17.02,17.02,17.02,17.02,0.0
2019-11-06T00:00:00.000Z,16.63,16.63,16.63,16.63,0.0
2019-11-07T00:00:00.000Z,16.83,16.83,16.83,16.83,0.0
2019-11-08T00:00:00.000Z,16.99,16.99,16.99,16.99,0.0
2019-11-11T00:00:00.000Z,16.81,16.81,16.81,16.81,0.0
2019-11-12T00:00:00.000Z,16.72,16.72,16.72,16.72,0.0
2019-11-13T00:00:00.000Z,16.57,16.57,16.57,16.57,0.0
2019-11-14T00:00:00.000Z,16.5,16.5,16.5,16.5,0.0
2019-11-15T00:00:00.000Z,16.68,16.68,16.68,16.68,0.0
2019-11-18T00:00:00.000Z,16.34,16.34,16.34,16.34,0.0
2019-11-19T00:00:00.000Z,16.04,16.04,16.04,16.04,0.0
2019-11-20T00:00:00.000Z,16.27,16.27,16.27,16.27,0.0
2019-11-21T00:00:00.000Z,16.49,16.49,16.49,16.49,0.0
2019-11-22T00:00:00.000Z,16.51,16.51,16.51,16.51,0.0
2019-11-25T00:00:00.000Z,16.65,16.65,16.65,16.65,0.0
2019-11-26T00:00:00.000Z,16.36,16.36,16.36,16.36,0.0
2019-11-27T00:00:00.000Z,16.47,16.47,16.47,16.47,0.0
2019-11-29T00:00:00.000Z,16.24,16.24,16.24,16.24,0.0
2019-12-02T00:00:00.000Z,16.15,16.15,16.15,16.15,0.0
2019-12-03T00:00:00.000Z,15.94,15.94,15.94,15.94,0.0
2019-12-04T00:00:00.000Z,16.36,16.36,16.36,16.36,0.0
2019-12-05T00:00:00.000Z,16.25,16.25,16.25,16.25,0.0
2019-12-06T00:00:00.000Z,16.7,16.7,16.7,16.7,0.0
2019-12-09T00:00:00.000Z,16.75,16.75,16.75,16.75,0.0
2019-12-10T00:00:00.000Z,16.8,16.8,16.8,16.8,0.0
2019-12-11T00:00:00.000Z,16.89,16.89,16.89,16.89,0.0
2019-12-12T00:00:00.000Z,17.19,17.19,17.19,17.19,0.0
2019-12-13T00:00:00.000Z,17.13,17.13,17.13,17.13,0.0
2019-12-16T00:00:00.000Z,17.43,17.43,17.43,17.43,0.0
2019-12-17T00:00:00.000Z,17.59,17.59,17.59,17.59,0.0
2019-12-18T00:00:00.000Z,17.77,17.77,17.77,17.77,0.0
2019-12-19T00:00:00.000Z,17.92,17.92,17.92,17.92,0.0
2019-12-20T00:00:00.000Z,17.8,17.8,17.8,17.8,0.0
2019-12-23T00:00:00.000Z,18.1,18.1,18.1,18.1,0.0
2019-12-24T00:00:00.000Z,18.17,18.17,18.17,18.17,0.0
2019-12-26T00:00:00.000Z,18.19,18.19,18.19,18.19,0.0
2019-12-27T00:00:00.000Z,18.02,18.02,18.02,18.02,0.0
2019-12-30T00:00:00.000Z,18.03,18.03,18.03,18.03,0.0
2019-12-31T00:00:00.000Z,18.23,18.23,18.23,18.23,0.0
2020-01-02T00:00:00.000Z,18.22,18.22,18.22,18.22,0.0
2020-01-03T00:00:00.000Z,18.37,18.37,18.37,18.37,0.0
2020-01-06T00:00:00.000Z,18.66,18.66,18.66,18.66,0.0
2020-01-07T00:00:00.000Z,18.62,18.62,18.62,18.62,0.0
2020-01-08T00:00:00.000Z,18.18,18.18,18.18,18.18,0.0
2020-01-09T00:00:00.000Z,18.18,18.18,18.18,18.18,0.0
2020-01-10T00:00:00.000Z,18.0,18.0,18.0,18.0,0.0
2020-01-13T00:00:00.000Z,18.01,18.01,18.01,18.01,0.0
2020-01-14T00:00:00.000Z,18.09,18.09,18.09,18.09,0.0
2020-01-15T00:00:00.000Z,17.99,17.99,17.99,17.99,0.0
2020-01-16T00:00:00.000Z,18.12,18.12,18.12,18.12,0.0
2020-01-17T00:00:00.000Z,17.99,17.99,17.99,17.99,0.0
2020-01-21T00:00:00.000Z,17.57,17.57,17.57,17.57,0.0
2020-01-22T00:00:00.000Z,17.26,17.26,17.26,17.26,0.0
2020-01-23T00:00:00.000Z,17.16,17.16,17.16,17.16,0.0
2020-01-24T00:00:00.000Z,16.86,16.86,16.86,16.86,0.0
2020-01-27T00:00:00.000Z,16.28,16.28,16.28,16.28,0.0
2020-01-28T00:00:00.000Z,16.42,16.42,16.42,16.42,0.0
2020-01-29T00:00:00.000Z,16.23,16.23,16.23,16.23,0.0
2020-01-30T00:00:00.000Z,16.27,16.27,16.27,16.27,0.0
2020-01-31T00:00:00.000Z,15.91,15.91,15.91,15.91,0.0
2020-02-03T00:00:00.000Z,15.91,15.91,15.91,15.91,0.0
2020-02-04T00:00:00.000Z,16.12,16.12,16.12,16.12,0.0
2020-02-05T00:00:00.000Z,16.6,16.6,16.6,16.6,0.0
2020-02-06T00:00:00.000Z,16.44,16.44,16.44,16.44,0.0
2020-02-07T00:00:00.000Z,16.22,16.22,16.22,16.22,0.0
2020-02-10T00:00:00.000Z,16.03,16.03,16.03,16.03,0.0
2020-02-11T00:00:00.000Z,16.15,16.15,16.15,16.15,0.0
2020-02-12T00:00:00.000Z,16.31,16.31,16.31,16.31,0.0
2020-02-13T00:00:00.000Z,16.22,16.22,16.22,16.22,0.0
2020-02-14T00:00:00.000Z,16.12,16.12,16.12,16.12,0.0
2020-02-18T00:00:00.000Z,15.94,15.94,15.94,15.94,0.0
2020-02-19T00:00:00.000Z,16.16,16.16,16.16,16.16,0.0
2020-02-20T00:00:00.000Z,16.1,16.1,16.1,16.1,0.0
2020-02-21T00:00:00.000Z,15.84,15.84,15.84,15.84,0.0
2020-02-24T00:00:00.000Z,15.15,15.15,15.15,15.15,0.0
2020-02-25T00:00:00.000Z,14.49,14.49,14.49,14.49,0.0
2020-02-26T00:00:00.000Z,14.1,14.1,14.1,14.1,0.0
2020-02-27T00:00:00.000Z,13.4,13.4,13.4,13.4,0.0
2020-02-28T00:00:00.000Z,13.56,13.56,13.56,13.56,0.0
2020-03-02T00:00:00.000Z,13.79,13.79,13.79,13.79,0.0
2020-03-03T00:00:00.000Z,13.49,13.49,13.49,13.49,0.0
2020-03-04T00:00:00.000Z,13.79,13.79,13.79,13.79,0.0
2020-03-05T00:00:00.000Z,13.33,13.33,13.33,13.33,0.0
2020-03-06T00:00:00.000Z,12.4,12.4,12.4,12.4,0.0
2020-03-09T00:00:00.000Z,9.4,9.4,9.4,9.4,0.0
2020-03-10T00:00:00.000Z,9.92,9.92,9.92,9.92,0.0
2020-03-11T00:00:00.000Z,9.3,9.3,9.3,9.3,0.0
2020-03-12T00:00:00.000Z,8.04,8.04,8.04,8.04,0.0
2020-03-13T00:00:00.000Z,9.09,9.09,9.09,9.09,0.0
2020-03-16T00:00:00.000Z,7.89,7.89,7.89,7.89,0.0
2020-03-17T00:00:00.000Z,7.69,7.69,7.69,7.69,0.0
2020-03-18T00:00:00.000Z,6.63,6.63,6.63,6.63,0.0
2020-03-19T00:00:00.000Z,7.24,7.24,7.24,7.24,0.0
2020-03-20T00:00:00.000Z,7.3,7.3,7.3,7.3,0.0
2020-03-23T00:00:00.000Z,6.94,6.94,6.94,6.94,0.0
2020-03-24T00:00:00.000Z,7.88,7.88,7.88,7.88,0.0
2020-03-25T00:00:00.000Z,8.18,8.18,8.18,8.18,0.0
2020-03-26T00:00:00.000Z,8.5,8.5,8.5,8.5,0.0
2020-03-27T00:00:00.000Z,7.92,7.92,7.92,7.92,0.0
2020-03-30T00:00:00.000Z,7.89,7.89,7.89,7.89,0.0
