date,open,high,low,close,volume
2017-05-24T00:00:00.000Z,66.25,66.72,66.25,66.56,12843.0
2017-05-25T00:00:00.000Z,66.91,67.13,66.77,66.82,21756.0
2017-05-26T00:00:00.000Z,66.79,67.13,66.79,66.96,56887.0
2017-05-30T00:00:00.000Z,66.76,66.95,66.75,66.83,8083.0
2017-05-31T00:00:00.000Z,66.67,66.69,66.28,66.28,18257.0
2017-06-01T00:00:00.000Z,66.44,66.84,66.44,66.77,14100.0
2017-06-02T00:00:00.000Z,66.96,67.08,66.73,67.07,17044.0
2017-06-05T00:00:00.000Z,66.99,67.16,66.97,67.01,22969.0
2017-06-06T00:00:00.000Z,66.79,67.24,66.77,67.01,22011.0
2017-06-07T00:00:00.000Z,67.07,67.32,66.85,66.95,14851.0
2017-06-08T00:00:00.000Z,67.35,67.47,67.17,67.38,17742.0
2017-06-09T00:00:00.000Z,67.25,67.4,66.54,66.61,73318.0
2017-06-12T00:00:00.000Z,66.44,66.59,66.19,66.52,18107.0
2017-06-13T00:00:00.000Z,66.81,66.83,66.54,66.83,11046.0
2017-06-14T00:00:00.000Z,67.2,67.2,66.62,66.67,14268.0
2017-06-15T00:00:00.000Z,65.92,66.16,65.92,66.09,14874.0
2017-06-16T00:00:00.000Z,65.68,66.07,65.68,66.0,10815.0
2017-06-19T00:00:00.000Z,66.24,66.62,66.24,66.62,12578.0
2017-06-20T00:00:00.000Z,66.39,66.39,65.61,65.61,16048.0
2017-06-21T00:00:00.000Z,66.21,66.21,66.13,66.13,25928.0
2017-06-22T00:00:00.000Z,66.08,66.55,66.08,66.36,18421.0
2017-06-23T00:00:00.000Z,66.32,66.74,66.32,66.57,31622.0
2017-06-26T00:00:00.000Z,67.16,67.32,66.93,67.26,17848.0
2017-06-27T00:00:00.000Z,66.86,67.12,66.36,66.36,11438.0
2017-06-28T00:00:00.000Z,66.81,67.16,66.78,67.08,26824.0
2017-06-29T00:00:00.000Z,67.07,67.07,65.94,66.21,22490.0
2017-06-30T00:00:00.000Z,66.66,66.86,66.6,66.61,18611.0
2017-07-03T00:00:00.000Z,66.98,67.0,66.82,66.9,565378.0
2017-07-05T00:00:00.000Z,66.45,66.95,66.4,66.84,55200.0
2017-07-06T00:00:00.000Z,66.72,66.72,66.225,66.225,16875.0
2017-07-07T00:00:00.000Z,66.51,66.55,66.2,66.36,23832.0
2017-07-10T00:00:00.000Z,66.59,66.94,66.55,66.88,16005.0
2017-07-11T00:00:00.000Z,67.33,67.44,67.16,67.35,16900.0
2017-07-12T00:00:00.000Z,68.28,68.78,68.24,68.65,20905.0
2017-07-13T00:00:00.000Z,68.77,68.88,68.6,68.74,43896.0
2017-07-14T00:00:00.000Z,69.38,69.8,69.38,69.76,21464.0
2017-07-17T00:00:00.000Z,69.54,69.61,69.26,69.4,313128.0
2017-07-18T00:00:00.000Z,69.45,69.698,69.32,69.63,52483.0
2017-07-19T00:00:00.000Z,70.16,70.34,70.05,70.05,32205.0
2017-07-20T00:00:00.000Z,70.27,70.27,69.89,70.04,16053.0
2017-07-21T00:00:00.000Z,70.01,70.01,69.69,69.8,34275.0
2017-07-24T00:00:00.000Z,70.15,70.35,69.77,70.04,12264.0
2017-07-25T00:00:00.000Z,70.34,70.68,70.01,70.04,20561.0
2017-07-26T00:00:00.000Z,70.24,70.64,70.05,70.55,31963.0
2017-07-27T00:00:00.000Z,70.81,70.81,69.8,70.24,36529.0
2017-07-28T00:00:00.000Z,70.54,70.54,69.96,70.36,29124.0
2017-07-31T00:00:00.000Z,70.76,70.82,70.27,70.36,61655.0
2017-08-01T00:00:00.000Z,70.92,70.92,70.58,70.82,32532.0
2017-08-02T00:00:00.000Z,70.95,70.95,70.42,70.79,19793.0
2017-08-03T00:00:00.000Z,70.83,70.83,70.41,70.65,23540.0
2017-08-04T00:00:00.000Z,70.95,70.95,70.57,70.93,44132.0
2017-08-07T00:00:00.000Z,71.01,71.43,71.01,71.42,24027.0
2017-08-08T00:00:00.000Z,71.69,71.93,71.42,71.48,32714.0
2017-08-09T00:00:00.000Z,71.05,71.1,70.71,71.1,27608.0
2017-08-10T00:00:00.000Z,70.62,70.64,69.44,69.44,20900.0
