date,open,high,low,close,volume
2019-11-11T00:00:00.000Z,96.1,96.5681,95.98,96.54,18361.0
2019-11-12T00:00:00.000Z,96.72,97.271,96.42,96.86,26807.0
2019-11-13T00:00:00.000Z,96.33,96.49,95.85,96.02,23315.0
2019-11-14T00:00:00.000Z,95.88,96.47,95.88,96.42,26454.0
2019-11-15T00:00:00.000Z,96.99,96.99,96.18,96.35,30548.0
2019-11-18T00:00:00.000Z,96.04,96.3,95.74,96.07,30017.0
2019-11-19T00:00:00.000Z,96.35,96.35,95.49,95.67,17555.0
2019-11-20T00:00:00.000Z,95.19,95.69,94.4936,94.58,28193.0
2019-11-21T00:00:00.000Z,94.54,94.78,94.22,94.56,30971.0
2019-11-22T00:00:00.000Z,94.7,95.13,94.68,94.71,188852.0
2019-11-25T00:00:00.000Z,94.81,95.4391,94.81,95.28,75605.0
2019-11-26T00:00:00.000Z,95.05,95.76,95.05,95.51,28826.0
2019-11-27T00:00:00.000Z,95.32,95.9904,95.1689,95.9,13866.0
2019-11-29T00:00:00.000Z,95.5,95.76,95.35,95.47,5964.0
2019-12-02T00:00:00.000Z,95.35,95.66,94.62,94.62,23268.0
2019-12-03T00:00:00.000Z,93.93,93.93,93.16,93.79,21630.0
2019-12-04T00:00:00.000Z,94.5,95.12,93.91,93.91,17604.0
2019-12-05T00:00:00.000Z,94.02,94.49,94.02,94.48,32267.0
2019-12-06T00:00:00.000Z,94.81,95.9151,94.81,95.65,14739.0
2019-12-09T00:00:00.000Z,95.61,96.11,95.47,95.58,10090.0
2019-12-10T00:00:00.000Z,95.2726,95.67,95.051,95.2,11755.0
2019-12-11T00:00:00.000Z,95.21,95.9469,95.21,95.8,25127.0
2019-12-12T00:00:00.000Z,96.0,97.56,95.91,97.5,63348.0
2019-12-13T00:00:00.000Z,97.64,97.92,96.51,96.55,34025.0
2019-12-16T00:00:00.000Z,96.88,96.88,96.07,96.17,16186.0
2019-12-17T00:00:00.000Z,96.37,96.62,95.935,96.31,14348.0
2019-12-18T00:00:00.000Z,96.23,96.26,95.54,96.2,9743.0
2019-12-19T00:00:00.000Z,96.16,96.81,96.16,96.59,16024.0
2019-12-20T00:00:00.000Z,96.92,97.14,96.79,96.85,18034.0
2019-12-23T00:00:00.000Z,96.55,97.4,96.55,97.33,11115.0
2019-12-24T00:00:00.000Z,97.36,97.71,97.31,97.45,14558.0
2019-12-26T00:00:00.000Z,97.76,97.82,97.39,97.77,6228.0
2019-12-27T00:00:00.000Z,98.11,98.13,97.45,97.6,8742.0
2019-12-30T00:00:00.000Z,97.79,97.79,97.22,97.29,14433.0
2019-12-31T00:00:00.000Z,97.22,98.03,97.22,97.94,31536.0
2020-01-02T00:00:00.000Z,98.71,98.7476,96.87,96.97,70824.0
2020-01-03T00:00:00.000Z,95.83,96.42,95.22,95.22,35845.0
2020-01-06T00:00:00.000Z,95.07,95.38,94.81,94.81,23060.0
2020-01-07T00:00:00.000Z,94.5,95.54,94.5,94.84,18066.0
2020-01-08T00:00:00.000Z,94.98,95.2885,94.46,94.95,44182.0
2020-01-09T00:00:00.000Z,95.5,95.5,94.76,95.07,16095.0
2020-01-10T00:00:00.000Z,95.22,95.4403,94.42,94.51,10979.0
2020-01-13T00:00:00.000Z,94.6,95.85,94.6,95.85,24934.0
2020-01-14T00:00:00.000Z,95.72,96.34,95.63,95.86,21872.0
2020-01-15T00:00:00.000Z,96.05,96.67,95.78,96.25,13881.0
2020-01-16T00:00:00.000Z,96.55,96.83,96.17,96.62,14498.0
2020-01-17T00:00:00.000Z,96.68,96.99,96.34,96.85,14494.0
2020-01-21T00:00:00.000Z,96.13,96.21,95.5661,95.76,25350.0
2020-01-22T00:00:00.000Z,95.85,95.85,94.97,95.1,11969.0
2020-01-23T00:00:00.000Z,94.36,94.82,93.38,94.82,34918.0
2020-01-24T00:00:00.000Z,95.03,95.03,93.83,94.15,21476.0
2020-01-27T00:00:00.000Z,92.53,92.53,91.75,91.78,20239.0
2020-01-28T00:00:00.000Z,92.12,92.97,92.04,92.63,31266.0
2020-01-29T00:00:00.000Z,93.45,93.51,92.99,92.99,26129.0
2020-01-30T00:00:00.000Z,91.92,92.81,91.64,92.73,28201.0
2020-01-31T00:00:00.000Z,91.97,91.97,90.43,90.63,38843.0
2020-02-03T00:00:00.000Z,91.27,92.69,91.0381,92.32,35842.0
2020-02-04T00:00:00.000Z,93.2,94.4699,93.2,94.03,45881.0
2020-02-05T00:00:00.000Z,94.93,95.88,94.23,95.76,56770.0
2020-02-06T00:00:00.000Z,95.92,96.0,95.11,95.53,28741.0
2020-02-07T00:00:00.000Z,94.57,94.645,93.8262,94.12,27200.0
2020-02-10T00:00:00.000Z,94.16,94.35,93.84,94.01,19254.0
2020-02-11T00:00:00.000Z,94.42,95.61,94.42,94.72,13764.0
2020-02-12T00:00:00.000Z,95.39,95.7597,95.2799,95.42,14171.0
2020-02-13T00:00:00.000Z,95.29,95.8375,95.01,95.27,18674.0
2020-02-14T00:00:00.000Z,95.2,95.586,94.95,95.18,10698.0
2020-02-18T00:00:00.000Z,94.91,95.25,94.6,95.06,15954.0
2020-02-19T00:00:00.000Z,95.69,95.69,95.52,95.52,8486.0
2020-02-20T00:00:00.000Z,95.13,96.36,95.13,95.79,21038.0
2020-02-21T00:00:00.000Z,95.1,95.57,95.1,95.44,14185.0
2020-02-24T00:00:00.000Z,93.13,93.28,92.32,92.65,103778.0
2020-02-25T00:00:00.000Z,92.5,92.5,88.2806,88.47,125365.0
2020-02-26T00:00:00.000Z,88.83,89.86,87.96,88.02,75852.0
2020-02-27T00:00:00.000Z,86.89,87.35,83.83,83.89,86370.0
2020-02-28T00:00:00.000Z,81.22,82.94,80.61,82.94,107525.0
2020-03-02T00:00:00.000Z,83.53,85.99,82.65,85.99,79654.0
2020-03-03T00:00:00.000Z,86.24,87.91,84.21,85.23,84194.0
2020-03-04T00:00:00.000Z,86.76,88.53,85.55,88.42,36745.0
2020-03-05T00:00:00.000Z,85.98,86.66,85.22,85.73,47264.0
2020-03-06T00:00:00.000Z,83.49,84.04,81.77,83.17,50866.0
2020-03-09T00:00:00.000Z,76.84,77.72,74.47,74.48,78336.0
2020-03-10T00:00:00.000Z,76.93,77.58,73.69,77.49,79938.0
2020-03-11T00:00:00.000Z,75.53,75.55,73.1056,73.86,80141.0
2020-03-12T00:00:00.000Z,67.86,71.03,65.63,66.88,68960.0
2020-03-13T00:00:00.000Z,71.03,71.7054,66.52,71.6,145688.0
2020-03-16T00:00:00.000Z,61.49,66.7788,61.49,64.52,121607.0
2020-03-17T00:00:00.000Z,64.83,68.43,63.79,68.11,70636.0
2020-03-18T00:00:00.000Z,65.08,66.253,59.62,62.86,73786.0
2020-03-19T00:00:00.000Z,61.98,66.13,60.9651,64.07,53392.0
2020-03-20T00:00:00.000Z,64.96,64.96,61.26,62.24,40324.0
2020-03-23T00:00:00.000Z,61.91,62.36,59.49,59.63,69827.0
2020-03-24T00:00:00.000Z,63.82,66.8332,62.79,66.3,54240.0
2020-03-25T00:00:00.000Z,67.06,71.035,65.45,68.33,98330.0
2020-03-26T00:00:00.000Z,68.95,71.3,68.76,70.75,81475.0
2020-03-27T00:00:00.000Z,68.23,69.43,67.73,68.04,45037.0
