
| :symbol | :qty |           :px-open |   :dt-open |          :px-close |  :dt-close |                 :pl |
|---------+------+--------------------+------------+--------------------+------------+---------------------|
|   FDCPX |  100 | 118.58999633789062 | 2000-06-18 | 114.62999725341797 | 2000-06-29 |  -395.9999084472656 |
|   FSDCX |  100 |  68.05000305175781 | 2000-06-18 |  68.80999755859375 | 2000-07-27 |   75.99945068359375 |
|   FMCDX |  100 |  22.18000030517578 | 2000-06-18 | 22.020000457763672 | 2000-07-27 | -15.999984741210938 |
|   FSRFX |  100 |  24.59000015258789 | 2000-07-28 |  25.09000015258789 | 2000-08-23 |                50.0 |
|   FSDCX |  100 |  72.29000091552734 | 2000-08-24 |   71.5999984741211 | 2000-09-06 |    -69.000244140625 |
|   FSAIX |  100 | 33.060001373291016 | 2000-07-28 |   33.7400016784668 | 2000-09-19 |   68.00003051757812 |
|   FSNGX |  100 |   23.1299991607666 | 2000-09-07 | 22.149999618530273 | 2000-09-21 |  -97.99995422363281 |
|   FNARX |  100 |              14.75 | 2000-09-20 | 14.510000228881836 | 2000-09-21 | -23.999977111816406 |
|   FSCSX |  100 | 101.33999633789062 | 2000-09-22 |  99.95999908447266 | 2000-09-27 | -137.99972534179688 |
|   FBIOX |  100 |  98.94000244140625 | 2000-09-22 |   93.0999984741211 | 2000-10-02 |  -584.0003967285156 |
|   FMCDX |  100 | 24.260000228881836 | 2000-09-28 | 23.670000076293945 | 2000-10-03 |  -59.00001525878906 |
|   FSNGX |  100 |  23.31999969482422 | 2000-10-03 | 22.700000762939453 | 2000-10-04 |  -61.99989318847656 |
|   FSDPX |  100 | 19.850000381469727 | 2000-10-04 | 19.440000534057617 | 2000-10-06 |  -40.99998474121094 |
|   FSRBX |  100 | 31.920000076293945 | 2000-10-05 | 31.010000228881836 | 2000-10-06 |  -90.99998474121094 |
|   FSCHX |  100 |  32.95000076293945 | 2000-10-07 |  32.40999984741211 | 2000-10-11 | -54.000091552734375 |
|   FSNGX |  100 |  23.56999969482422 | 2000-10-12 | 23.149999618530273 | 2000-10-13 |  -42.00000762939453 |
|   FBIOX |  100 |  94.12000274658203 | 2000-10-18 |  93.83000183105469 | 2000-10-27 | -29.000091552734375 |
|   FSDPX |  100 | 19.479999542236328 | 2000-10-28 |  20.90999984741211 | 2000-12-15 |  143.00003051757812 |
