
|  :dir | :prct | :len |               :low |              :high |             :close |  :dt-first |   :dt-last |
|-------+-------+------+--------------------+--------------------+--------------------+------------+------------|
|   :up |   8.4 |   16 |              74.75 |  81.05999755859375 |  81.05999755859375 | 1999-11-01 | 1999-11-23 |
| :down |   3.9 |    4 |               78.0 |  81.05999755859375 |               78.0 | 1999-11-23 | 1999-11-24 |
|   :up |   1.4 |    2 |               78.0 |  79.12000274658203 |  79.12000274658203 | 1999-11-24 | 1999-11-26 |
| :down |   1.4 |    2 |               78.0 |  79.12000274658203 |               78.0 | 1999-11-26 | 1999-11-29 |
|   :up |  10.4 |   10 |               78.0 |  86.12999725341797 |  86.12999725341797 | 1999-11-29 | 1999-12-10 |
| :down |   4.6 |    5 |  82.37999725341797 |  86.12999725341797 |  82.37999725341797 | 1999-12-10 | 1999-12-16 |
|   :up |   1.7 |    3 |  82.37999725341797 |              83.75 |              83.75 | 1999-12-16 | 1999-12-17 |
| :down |   3.7 |    5 |              80.75 |              83.75 |              80.75 | 1999-12-17 | 1999-12-23 |
|   :up |   3.8 |    3 |              80.75 |  83.80999755859375 |  83.80999755859375 | 1999-12-23 | 1999-12-27 |
| :down |   9.1 |    8 |  76.80999755859375 |  83.80999755859375 |  76.80999755859375 | 1999-12-27 | 2000-01-05 |
|   :up |  11.4 |   16 |  76.80999755859375 |  85.55999755859375 |  85.55999755859375 | 2000-01-05 | 2000-01-27 |
| :down |   8.5 |    8 |  78.87999725341797 |  85.55999755859375 |  78.87999725341797 | 2000-01-27 | 2000-01-31 |
|   :up |   6.3 |    5 |  78.87999725341797 |  83.80999755859375 |  83.80999755859375 | 2000-01-31 | 2000-02-04 |
| :down |  13.4 |    9 |  73.87999725341797 |  83.80999755859375 |  73.87999725341797 | 2000-02-04 | 2000-02-15 |
|   :up |   8.3 |    4 |  73.87999725341797 |               80.0 |               80.0 | 2000-02-15 | 2000-02-17 |
| :down |  12.6 |    8 |  71.05999755859375 |               80.0 |  71.05999755859375 | 2000-02-17 | 2000-02-29 |
|   :up |   8.4 |    6 |  71.05999755859375 |               77.0 |               77.0 | 2000-02-29 | 2000-03-06 |
| :down |   5.6 |    3 |  72.94000244140625 |               77.0 |  72.94000244140625 | 2000-03-06 | 2000-03-07 |
|   :up |  10.3 |    4 |  72.94000244140625 |  80.44000244140625 |  80.44000244140625 | 2000-03-07 | 2000-03-10 |
| :down |   6.0 |    3 |  75.87999725341797 |  80.44000244140625 |  75.87999725341797 | 2000-03-10 | 2000-03-14 |
|   :up |   5.1 |    4 |  75.87999725341797 |              79.75 |              79.75 | 2000-03-14 | 2000-03-17 |
| :down |   6.5 |    3 |  74.87999725341797 |              79.75 |  74.87999725341797 | 2000-03-17 | 2000-03-21 |
|   :up |   2.8 |    2 |  74.87999725341797 |               77.0 |               77.0 | 2000-03-21 | 2000-03-22 |
| :down |   2.7 |    3 |  74.94000244140625 |               77.0 |  74.94000244140625 | 2000-03-22 | 2000-03-24 |
|   :up |   3.1 |    3 |  74.94000244140625 |              77.25 |              77.25 | 2000-03-24 | 2000-03-27 |
| :down |   1.0 |    2 |  76.51000213623047 |              77.25 |  76.51000213623047 | 2000-03-27 | 2000-03-28 |
|   :up |   5.2 |    3 |  76.51000213623047 |               80.5 |               80.5 | 2000-03-28 | 2000-03-30 |
| :down |   3.2 |    3 |               78.0 |               80.5 |               78.0 | 2000-03-30 | 2000-04-03 |
|   :up |   5.8 |    3 |               78.0 |               82.5 |               82.5 | 2000-04-03 | 2000-04-05 |
| :down |   3.4 |    2 |              79.75 |               82.5 |              79.75 | 2000-04-05 | 2000-04-06 |
|   :up |   2.5 |    2 |              79.75 |              81.75 |              81.75 | 2000-04-06 | 2000-04-07 |
| :down |   4.5 |    3 |              78.25 |              81.75 |              78.25 | 2000-04-07 | 2000-04-11 |
|   :up |   2.2 |    4 |              78.25 |               80.0 |               80.0 | 2000-04-11 | 2000-04-14 |
| :down |   6.0 |    4 |               75.5 |               80.0 |               75.5 | 2000-04-14 | 2000-04-19 |
|   :up |   7.3 |    8 |               75.5 |               81.0 |               81.0 | 2000-04-19 | 2000-04-28 |
| :down |   4.5 |    7 |               77.5 |               81.0 |               77.5 | 2000-04-28 | 2000-05-04 |
|   :up |   3.8 |    4 |               77.5 |  80.44000244140625 |  80.44000244140625 | 2000-05-04 | 2000-05-09 |
| :down |   1.3 |    2 |  79.44000244140625 |  80.44000244140625 |  79.44000244140625 | 2000-05-09 | 2000-05-10 |
|   :up |   5.3 |    6 |  79.44000244140625 |  83.62999725341797 |  83.62999725341797 | 2000-05-10 | 2000-05-17 |
| :down |   2.8 |    5 |  81.37999725341797 |  83.62999725341797 |  81.37999725341797 | 2000-05-17 | 2000-05-22 |
|   :up |   2.4 |    6 |  81.37999725341797 |  83.30999755859375 |  83.30999755859375 | 2000-05-22 | 2000-05-25 |
| :down |   2.3 |    4 |  81.44000244140625 |  83.30999755859375 |  81.44000244140625 | 2000-05-25 | 2000-05-26 |
|   :up |   2.5 |    5 |  81.44000244140625 |               83.5 |               83.5 | 2000-05-26 | 2000-06-02 |
| :down |   5.4 |    5 |  79.19000244140625 |               83.5 |  79.19000244140625 | 2000-06-02 | 2000-06-06 |
|   :up |   3.9 |    3 |  79.19000244140625 |  82.30999755859375 |  82.30999755859375 | 2000-06-06 | 2000-06-07 |
| :down |   3.9 |    4 |  79.19000244140625 |  82.30999755859375 |  79.19000244140625 | 2000-06-07 | 2000-06-12 |
|   :up |   6.6 |    9 |  79.19000244140625 |  84.37999725341797 |  84.37999725341797 | 2000-06-12 | 2000-06-22 |
| :down |   2.0 |    6 |  82.69000244140625 |  84.37999725341797 |  82.69000244140625 | 2000-06-22 | 2000-06-26 |
|   :up |   0.8 |    3 |  82.69000244140625 |  83.36000061035156 |  83.36000061035156 | 2000-06-26 | 2000-06-27 |
| :down |   8.3 |   10 |  76.94000244140625 |  83.36000061035156 |  76.94000244140625 | 2000-06-27 | 2000-07-11 |
|   :up |   4.7 |    5 |  76.94000244140625 |  80.55999755859375 |  80.55999755859375 | 2000-07-11 | 2000-07-12 |
| :down |   3.9 |    4 |  77.55999755859375 |  80.55999755859375 |  77.55999755859375 | 2000-07-12 | 2000-07-17 |
