date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,81.39,81.39,81.39,81.39,0.0
2019-11-06T00:00:00.000Z,81.26,81.26,81.26,81.26,0.0
2019-11-07T00:00:00.000Z,81.38,81.38,81.38,81.38,0.0
2019-11-08T00:00:00.000Z,81.2,81.2,81.2,81.2,0.0
2019-11-11T00:00:00.000Z,81.24,81.24,81.24,81.24,0.0
2019-11-12T00:00:00.000Z,81.76,81.76,81.76,81.76,0.0
2019-11-13T00:00:00.000Z,81.92,81.92,81.92,81.92,0.0
2019-11-14T00:00:00.000Z,81.91,81.91,81.91,81.91,0.0
2019-11-15T00:00:00.000Z,82.9,82.9,82.9,82.9,0.0
2019-11-18T00:00:00.000Z,82.97,82.97,82.97,82.97,0.0
2019-11-19T00:00:00.000Z,82.62,82.62,82.62,82.62,0.0
2019-11-20T00:00:00.000Z,81.73,81.73,81.73,81.73,0.0
2019-11-21T00:00:00.000Z,81.19,81.19,81.19,81.19,0.0
2019-11-22T00:00:00.000Z,81.07,81.07,81.07,81.07,0.0
2019-11-25T00:00:00.000Z,82.16,82.16,82.16,82.16,0.0
2019-11-26T00:00:00.000Z,81.79,81.79,81.79,81.79,0.0
2019-11-27T00:00:00.000Z,82.3,82.3,82.3,82.3,0.0
2019-11-29T00:00:00.000Z,81.57,81.57,81.57,81.57,0.0
2019-12-02T00:00:00.000Z,80.63,80.63,80.63,80.63,0.0
2019-12-03T00:00:00.000Z,80.23,80.23,80.23,80.23,0.0
2019-12-04T00:00:00.000Z,80.91,80.91,80.91,80.91,0.0
2019-12-05T00:00:00.000Z,81.1,81.1,81.1,81.1,0.0
2019-12-06T00:00:00.000Z,82.1,82.1,82.1,82.1,0.0
2019-12-09T00:00:00.000Z,81.93,81.93,81.93,81.93,0.0
2019-12-10T00:00:00.000Z,82.18,82.18,82.18,82.18,0.0
2019-12-11T00:00:00.000Z,82.94,82.94,82.94,82.94,0.0
2019-12-12T00:00:00.000Z,84.53,84.53,84.53,84.53,0.0
2019-12-13T00:00:00.000Z,84.91,84.91,84.91,84.91,0.0
2019-12-16T00:00:00.000Z,85.94,85.94,85.94,85.94,0.0
2019-12-17T00:00:00.000Z,86.5,86.5,86.5,86.5,0.0
2019-12-18T00:00:00.000Z,86.28,86.28,86.28,86.28,0.0
2019-12-19T00:00:00.000Z,86.38,86.38,86.38,86.38,0.0
2019-12-20T00:00:00.000Z,82.78,82.78,82.78,82.78,0.0
2019-12-23T00:00:00.000Z,83.07,83.07,83.07,83.07,0.0
2019-12-24T00:00:00.000Z,82.97,82.97,82.97,82.97,0.0
2019-12-26T00:00:00.000Z,83.59,83.59,83.59,83.59,0.0
2019-12-27T00:00:00.000Z,83.82,83.82,83.82,83.82,0.0
2019-12-30T00:00:00.000Z,83.29,83.29,83.29,83.29,0.0
2019-12-31T00:00:00.000Z,83.8,83.8,83.8,83.8,0.0
2020-01-02T00:00:00.000Z,85.04,85.04,85.04,85.04,0.0
2020-01-03T00:00:00.000Z,84.1,84.1,84.1,84.1,0.0
2020-01-06T00:00:00.000Z,84.44,84.44,84.44,84.44,0.0
2020-01-07T00:00:00.000Z,85.04,85.04,85.04,85.04,0.0
2020-01-08T00:00:00.000Z,86.43,86.43,86.43,86.43,0.0
2020-01-09T00:00:00.000Z,87.66,87.66,87.66,87.66,0.0
2020-01-10T00:00:00.000Z,88.0,88.0,88.0,88.0,0.0
2020-01-13T00:00:00.000Z,89.37,89.37,89.37,89.37,0.0
2020-01-14T00:00:00.000Z,88.9,88.9,88.9,88.9,0.0
2020-01-15T00:00:00.000Z,88.34,88.34,88.34,88.34,0.0
2020-01-16T00:00:00.000Z,89.57,89.57,89.57,89.57,0.0
2020-01-17T00:00:00.000Z,89.91,89.91,89.91,89.91,0.0
2020-01-21T00:00:00.000Z,89.5,89.5,89.5,89.5,0.0
2020-01-22T00:00:00.000Z,90.26,90.26,90.26,90.26,0.0
2020-01-23T00:00:00.000Z,90.14,90.14,90.14,90.14,0.0
2020-01-24T00:00:00.000Z,89.61,89.61,89.61,89.61,0.0
2020-01-27T00:00:00.000Z,87.52,87.52,87.52,87.52,0.0
2020-01-28T00:00:00.000Z,88.49,88.49,88.49,88.49,0.0
2020-01-29T00:00:00.000Z,88.31,88.31,88.31,88.31,0.0
2020-01-30T00:00:00.000Z,87.29,87.29,87.29,87.29,0.0
2020-01-31T00:00:00.000Z,84.77,84.77,84.77,84.77,0.0
2020-02-03T00:00:00.000Z,86.15,86.15,86.15,86.15,0.0
2020-02-04T00:00:00.000Z,88.66,88.66,88.66,88.66,0.0
2020-02-05T00:00:00.000Z,88.72,88.72,88.72,88.72,0.0
2020-02-06T00:00:00.000Z,89.55,89.55,89.55,89.55,0.0
2020-02-07T00:00:00.000Z,88.25,88.25,88.25,88.25,0.0
2020-02-10T00:00:00.000Z,88.93,88.93,88.93,88.93,0.0
2020-02-11T00:00:00.000Z,89.26,89.26,89.26,89.26,0.0
2020-02-12T00:00:00.000Z,90.24,90.24,90.24,90.24,0.0
2020-02-13T00:00:00.000Z,89.32,89.32,89.32,89.32,0.0
2020-02-14T00:00:00.000Z,89.2,89.2,89.2,89.2,0.0
2020-02-18T00:00:00.000Z,87.51,87.51,87.51,87.51,0.0
2020-02-19T00:00:00.000Z,88.07,88.07,88.07,88.07,0.0
2020-02-20T00:00:00.000Z,87.48,87.48,87.48,87.48,0.0
2020-02-21T00:00:00.000Z,86.19,86.19,86.19,86.19,0.0
2020-02-24T00:00:00.000Z,82.52,82.52,82.52,82.52,0.0
2020-02-25T00:00:00.000Z,81.75,81.75,81.75,81.75,0.0
2020-02-26T00:00:00.000Z,82.05,82.05,82.05,82.05,0.0
2020-02-27T00:00:00.000Z,78.73,78.73,78.73,78.73,0.0
2020-02-28T00:00:00.000Z,78.64,78.64,78.64,78.64,0.0
2020-03-02T00:00:00.000Z,82.27,82.27,82.27,82.27,0.0
2020-03-03T00:00:00.000Z,80.5,80.5,80.5,80.5,0.0
2020-03-04T00:00:00.000Z,83.15,83.15,83.15,83.15,0.0
2020-03-05T00:00:00.000Z,80.92,80.92,80.92,80.92,0.0
2020-03-06T00:00:00.000Z,79.79,79.79,79.79,79.79,0.0
2020-03-09T00:00:00.000Z,73.93,73.93,73.93,73.93,0.0
2020-03-10T00:00:00.000Z,77.45,77.45,77.45,77.45,0.0
2020-03-11T00:00:00.000Z,73.96,73.96,73.96,73.96,0.0
2020-03-12T00:00:00.000Z,66.92,66.92,66.92,66.92,0.0
2020-03-13T00:00:00.000Z,71.59,71.59,71.59,71.59,0.0
2020-03-16T00:00:00.000Z,63.49,63.49,63.49,63.49,0.0
2020-03-17T00:00:00.000Z,66.26,66.26,66.26,66.26,0.0
2020-03-18T00:00:00.000Z,64.05,64.05,64.05,64.05,0.0
2020-03-19T00:00:00.000Z,64.61,64.61,64.61,64.61,0.0
2020-03-20T00:00:00.000Z,63.18,63.18,63.18,63.18,0.0
2020-03-23T00:00:00.000Z,62.38,62.38,62.38,62.38,0.0
2020-03-24T00:00:00.000Z,67.99,67.99,67.99,67.99,0.0
2020-03-25T00:00:00.000Z,68.85,68.85,68.85,68.85,0.0
2020-03-26T00:00:00.000Z,72.98,72.98,72.98,72.98,0.0
2020-03-27T00:00:00.000Z,70.02,70.02,70.02,70.02,0.0
2020-03-30T00:00:00.000Z,71.97,71.97,71.97,71.97,0.0
