date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,19.13,19.13,19.13,19.13,0.0
2019-11-06T00:00:00.000Z,19.11,19.11,19.11,19.11,0.0
2019-11-07T00:00:00.000Z,19.18,19.18,19.18,19.18,0.0
2019-11-08T00:00:00.000Z,19.31,19.31,19.31,19.31,0.0
2019-11-11T00:00:00.000Z,19.31,19.31,19.31,19.31,0.0
2019-11-12T00:00:00.000Z,19.39,19.39,19.39,19.39,0.0
2019-11-13T00:00:00.000Z,19.42,19.42,19.42,19.42,0.0
2019-11-14T00:00:00.000Z,19.51,19.51,19.51,19.51,0.0
2019-11-15T00:00:00.000Z,19.7,19.7,19.7,19.7,0.0
2019-11-18T00:00:00.000Z,19.7,19.7,19.7,19.7,0.0
2019-11-19T00:00:00.000Z,19.79,19.79,19.79,19.79,0.0
2019-11-20T00:00:00.000Z,19.76,19.76,19.76,19.76,0.0
2019-11-21T00:00:00.000Z,19.71,19.71,19.71,19.71,0.0
2019-11-22T00:00:00.000Z,19.7,19.7,19.7,19.7,0.0
2019-11-25T00:00:00.000Z,19.89,19.89,19.89,19.89,0.0
2019-11-26T00:00:00.000Z,19.99,19.99,19.99,19.99,0.0
2019-11-27T00:00:00.000Z,20.08,20.08,20.08,20.08,0.0
2019-11-29T00:00:00.000Z,20.05,20.05,20.05,20.05,0.0
2019-12-02T00:00:00.000Z,19.76,19.76,19.76,19.76,0.0
2019-12-03T00:00:00.000Z,19.75,19.75,19.75,19.75,0.0
2019-12-04T00:00:00.000Z,19.7,19.7,19.7,19.7,0.0
2019-12-05T00:00:00.000Z,19.76,19.76,19.76,19.76,0.0
2019-12-06T00:00:00.000Z,19.9,19.9,19.9,19.9,0.0
2019-12-09T00:00:00.000Z,19.85,19.85,19.85,19.85,0.0
2019-12-10T00:00:00.000Z,19.79,19.79,19.79,19.79,0.0
2019-12-11T00:00:00.000Z,19.82,19.82,19.82,19.82,0.0
2019-12-12T00:00:00.000Z,19.94,19.94,19.94,19.94,0.0
2019-12-13T00:00:00.000Z,20.12,20.12,20.12,20.12,0.0
2019-12-16T00:00:00.000Z,20.28,20.28,20.28,20.28,0.0
2019-12-17T00:00:00.000Z,20.18,20.18,20.18,20.18,0.0
2019-12-18T00:00:00.000Z,20.22,20.22,20.22,20.22,0.0
2019-12-19T00:00:00.000Z,20.35,20.35,20.35,20.35,0.0
2019-12-20T00:00:00.000Z,19.86,19.86,19.86,19.86,0.0
