date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,26.07,26.07,26.07,26.07,0.0
2019-11-06T00:00:00.000Z,26.08,26.08,26.08,26.08,0.0
2019-11-07T00:00:00.000Z,26.06,26.06,26.06,26.06,0.0
2019-11-08T00:00:00.000Z,26.13,26.13,26.13,26.13,0.0
2019-11-11T00:00:00.000Z,26.06,26.06,26.06,26.06,0.0
2019-11-12T00:00:00.000Z,26.09,26.09,26.09,26.09,0.0
2019-11-13T00:00:00.000Z,25.93,25.93,25.93,25.93,0.0
2019-11-14T00:00:00.000Z,25.91,25.91,25.91,25.91,0.0
2019-11-15T00:00:00.000Z,26.21,26.21,26.21,26.21,0.0
2019-11-18T00:00:00.000Z,26.05,26.05,26.05,26.05,0.0
2019-11-19T00:00:00.000Z,26.08,26.08,26.08,26.08,0.0
2019-11-20T00:00:00.000Z,25.89,25.89,25.89,25.89,0.0
2019-11-21T00:00:00.000Z,25.82,25.82,25.82,25.82,0.0
2019-11-22T00:00:00.000Z,25.88,25.88,25.88,25.88,0.0
2019-11-25T00:00:00.000Z,26.19,26.19,26.19,26.19,0.0
2019-11-26T00:00:00.000Z,26.27,26.27,26.27,26.27,0.0
2019-11-27T00:00:00.000Z,26.31,26.31,26.31,26.31,0.0
2019-11-29T00:00:00.000Z,26.18,26.18,26.18,26.18,0.0
2019-12-02T00:00:00.000Z,25.97,25.97,25.97,25.97,0.0
2019-12-03T00:00:00.000Z,25.76,25.76,25.76,25.76,0.0
2019-12-04T00:00:00.000Z,25.9,25.9,25.9,25.9,0.0
2019-12-05T00:00:00.000Z,26.08,26.08,26.08,26.08,0.0
2019-12-06T00:00:00.000Z,26.41,26.41,26.41,26.41,0.0
2019-12-09T00:00:00.000Z,26.31,26.31,26.31,26.31,0.0
2019-12-10T00:00:00.000Z,26.3,26.3,26.3,26.3,0.0
2019-12-11T00:00:00.000Z,26.52,26.52,26.52,26.52,0.0
2019-12-12T00:00:00.000Z,26.79,26.79,26.79,26.79,0.0
2019-12-13T00:00:00.000Z,26.63,26.63,26.63,26.63,0.0
2019-12-16T00:00:00.000Z,26.76,26.76,26.76,26.76,0.0
