date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,55.72,55.72,55.72,55.72,0.0
2019-11-06T00:00:00.000Z,56.09,56.09,56.09,56.09,0.0
2019-11-07T00:00:00.000Z,56.19,56.19,56.19,56.19,0.0
2019-11-08T00:00:00.000Z,56.24,56.24,56.24,56.24,0.0
2019-11-11T00:00:00.000Z,56.22,56.22,56.22,56.22,0.0
2019-11-12T00:00:00.000Z,56.66,56.66,56.66,56.66,0.0
2019-11-13T00:00:00.000Z,57.06,57.06,57.06,57.06,0.0
2019-11-14T00:00:00.000Z,57.24,57.24,57.24,57.24,0.0
2019-11-15T00:00:00.000Z,58.33,58.33,58.33,58.33,0.0
2019-11-18T00:00:00.000Z,57.95,57.95,57.95,57.95,0.0
2019-11-19T00:00:00.000Z,58.56,58.56,58.56,58.56,0.0
2019-11-20T00:00:00.000Z,58.6,58.6,58.6,58.6,0.0
2019-11-21T00:00:00.000Z,58.38,58.38,58.38,58.38,0.0
2019-11-22T00:00:00.000Z,58.39,58.39,58.39,58.39,0.0
2019-11-25T00:00:00.000Z,59.3,59.3,59.3,59.3,0.0
2019-11-26T00:00:00.000Z,59.54,59.54,59.54,59.54,0.0
2019-11-27T00:00:00.000Z,59.96,59.96,59.96,59.96,0.0
2019-11-29T00:00:00.000Z,59.8,59.8,59.8,59.8,0.0
2019-12-02T00:00:00.000Z,59.36,59.36,59.36,59.36,0.0
2019-12-03T00:00:00.000Z,59.18,59.18,59.18,59.18,0.0
2019-12-04T00:00:00.000Z,59.54,59.54,59.54,59.54,0.0
2019-12-05T00:00:00.000Z,59.61,59.61,59.61,59.61,0.0
2019-12-06T00:00:00.000Z,60.06,60.06,60.06,60.06,0.0
2019-12-09T00:00:00.000Z,59.26,59.26,59.26,59.26,0.0
2019-12-10T00:00:00.000Z,59.3,59.3,59.3,59.3,0.0
2019-12-11T00:00:00.000Z,59.43,59.43,59.43,59.43,0.0
2019-12-12T00:00:00.000Z,59.84,59.84,59.84,59.84,0.0
2019-12-13T00:00:00.000Z,60.15,60.15,60.15,60.15,0.0
2019-12-16T00:00:00.000Z,60.76,60.76,60.76,60.76,0.0
2019-12-17T00:00:00.000Z,60.65,60.65,60.65,60.65,0.0
2019-12-18T00:00:00.000Z,60.67,60.67,60.67,60.67,0.0
2019-12-19T00:00:00.000Z,60.69,60.69,60.69,60.69,0.0
2019-12-20T00:00:00.000Z,60.12,60.12,60.12,60.12,0.0
2019-12-23T00:00:00.000Z,60.44,60.44,60.44,60.44,0.0
2019-12-24T00:00:00.000Z,60.42,60.42,60.42,60.42,0.0
2019-12-26T00:00:00.000Z,60.24,60.24,60.24,60.24,0.0
2019-12-27T00:00:00.000Z,60.35,60.35,60.35,60.35,0.0
2019-12-30T00:00:00.000Z,59.96,59.96,59.96,59.96,0.0
2019-12-31T00:00:00.000Z,60.18,60.18,60.18,60.18,0.0
2020-01-02T00:00:00.000Z,60.36,60.36,60.36,60.36,0.0
2020-01-03T00:00:00.000Z,59.89,59.89,59.89,59.89,0.0
2020-01-06T00:00:00.000Z,60.49,60.49,60.49,60.49,0.0
2020-01-07T00:00:00.000Z,60.3,60.3,60.3,60.3,0.0
2020-01-08T00:00:00.000Z,60.52,60.52,60.52,60.52,0.0
