date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,10.87,10.87,10.87,10.87,0.0
2019-11-06T00:00:00.000Z,10.9,10.9,10.9,10.9,0.0
2019-11-07T00:00:00.000Z,11.02,11.02,11.02,11.02,0.0
2019-11-08T00:00:00.000Z,11.04,11.04,11.04,11.04,0.0
2019-11-11T00:00:00.000Z,10.99,10.99,10.99,10.99,0.0
2019-11-12T00:00:00.000Z,10.99,10.99,10.99,10.99,0.0
2019-11-13T00:00:00.000Z,11.0,11.0,11.0,11.0,0.0
2019-11-14T00:00:00.000Z,10.93,10.93,10.93,10.93,0.0
2019-11-15T00:00:00.000Z,11.03,11.03,11.03,11.03,0.0
2019-11-18T00:00:00.000Z,11.01,11.01,11.01,11.01,0.0
2019-11-19T00:00:00.000Z,10.98,10.98,10.98,10.98,0.0
2019-11-20T00:00:00.000Z,10.91,10.91,10.91,10.91,0.0
2019-11-21T00:00:00.000Z,10.89,10.89,10.89,10.89,0.0
2019-11-22T00:00:00.000Z,10.89,10.89,10.89,10.89,0.0
2019-11-25T00:00:00.000Z,10.98,10.98,10.98,10.98,0.0
2019-11-26T00:00:00.000Z,10.99,10.99,10.99,10.99,0.0
2019-11-27T00:00:00.000Z,11.06,11.06,11.06,11.06,0.0
2019-11-29T00:00:00.000Z,11.03,11.03,11.03,11.03,0.0
2019-12-02T00:00:00.000Z,10.88,10.88,10.88,10.88,0.0
2019-12-03T00:00:00.000Z,10.84,10.84,10.84,10.84,0.0
2019-12-04T00:00:00.000Z,10.88,10.88,10.88,10.88,0.0
2019-12-05T00:00:00.000Z,10.9,10.9,10.9,10.9,0.0
2019-12-06T00:00:00.000Z,10.99,10.99,10.99,10.99,0.0
2019-12-09T00:00:00.000Z,10.92,10.92,10.92,10.92,0.0
2019-12-10T00:00:00.000Z,10.94,10.94,10.94,10.94,0.0
2019-12-11T00:00:00.000Z,11.04,11.04,11.04,11.04,0.0
2019-12-12T00:00:00.000Z,11.14,11.14,11.14,11.14,0.0
2019-12-13T00:00:00.000Z,11.18,11.18,11.18,11.18,0.0
