date,open,high,low,close,volume
2017-03-10T00:00:00.000Z,49.88,49.88,49.88,49.88,470.0
2017-03-13T00:00:00.000Z,49.33,49.47,49.33,49.47,851.0
2017-03-14T00:00:00.000Z,49.47,49.47,48.94,49.2,446.0
2017-03-15T00:00:00.000Z,49.72,50.9,49.72,50.28,4933.0
2017-03-16T00:00:00.000Z,51.01,51.16,50.74,50.74,1865.0
2017-03-17T00:00:00.000Z,50.52,50.54,50.23,50.54,7856.0
2017-03-20T00:00:00.000Z,50.39,51.2,50.14,51.2,3118.0
2017-03-21T00:00:00.000Z,49.81,49.81,49.81,49.81,183.0
2017-03-22T00:00:00.000Z,49.88,50.28,49.83,50.15,1726.0
2017-03-23T00:00:00.000Z,49.81,50.46,49.81,50.28,653.0
2017-03-24T00:00:00.000Z,50.26,50.26,50.26,50.26,390.0
2017-03-27T00:00:00.000Z,50.16,50.86,49.8,50.86,1289.0
2017-03-28T00:00:00.000Z,50.86,51.24,50.86,51.05,7262.0
2017-03-29T00:00:00.000Z,51.17,51.17,51.17,51.17,335.0
2017-03-30T00:00:00.000Z,51.5,51.52,51.25,51.25,1065.0
2017-03-31T00:00:00.000Z,51.03,51.04,50.55,51.04,1524.0
2017-04-03T00:00:00.000Z,51.77,51.77,51.05,51.14,8634.0
2017-04-04T00:00:00.000Z,51.21,51.82,51.15,51.82,63249.0
2017-04-05T00:00:00.000Z,52.34,52.42,51.37,51.37,3191.0
2017-04-06T00:00:00.000Z,51.49,51.49,50.92,50.92,3494.0
2017-04-07T00:00:00.000Z,51.17,51.17,51.17,51.17,318.0
2017-04-10T00:00:00.000Z,50.95,51.72,50.95,51.72,1390.0
2017-04-11T00:00:00.000Z,51.3,51.53,51.3,51.53,552.0
2017-04-12T00:00:00.000Z,51.53,51.53,51.53,51.53,5.0
2017-04-13T00:00:00.000Z,50.28,50.57,50.28,50.39,1216.0
2017-04-17T00:00:00.000Z,50.47,52.1,50.47,51.28,4503.0
2017-04-18T00:00:00.000Z,51.31,51.57,50.95,50.95,4349.0
2017-04-19T00:00:00.000Z,50.73,50.83,50.48,50.67,6718.0
2017-04-20T00:00:00.000Z,50.54,50.54,50.36,50.4,2733.0
2017-04-21T00:00:00.000Z,50.45,50.45,50.45,50.45,317.0
2017-04-24T00:00:00.000Z,50.85,51.24,50.85,51.24,1636.0
2017-04-25T00:00:00.000Z,50.71,50.99,50.66,50.99,2820.0
2017-04-26T00:00:00.000Z,51.02,51.02,50.34,50.38,2095.0
2017-04-27T00:00:00.000Z,50.95,50.95,50.33,50.5,4353.0
2017-04-28T00:00:00.000Z,50.96,50.96,50.96,50.96,1722.0
2017-05-01T00:00:00.000Z,51.09,51.2,51.03,51.03,2629.0
2017-05-02T00:00:00.000Z,51.43,51.74,51.37,51.74,1332.0
2017-05-03T00:00:00.000Z,51.55,51.69,51.55,51.69,1025.0
2017-05-04T00:00:00.000Z,50.3,50.65,50.23,50.49,3909.0
2017-05-05T00:00:00.000Z,50.55,51.11,50.55,51.11,473.0
2017-05-08T00:00:00.000Z,50.96,50.96,50.34,50.34,2053.0
2017-05-09T00:00:00.000Z,50.75,51.16,50.72,51.1,1925.0
2017-05-10T00:00:00.000Z,51.95,52.14,51.82,52.14,1262.0
2017-05-11T00:00:00.000Z,52.15,52.24,51.95,52.24,4805.0
2017-05-12T00:00:00.000Z,52.56,52.81,52.54,52.55,1214.0
2017-05-15T00:00:00.000Z,53.28,53.5,53.28,53.4,1713.0
2017-05-16T00:00:00.000Z,53.68,53.68,53.31,53.6,1287.0
2017-05-17T00:00:00.000Z,53.51,53.51,52.28,52.28,33461.0
2017-05-18T00:00:00.000Z,48.73,50.01,46.84,47.47,7049.0
2017-05-19T00:00:00.000Z,49.33,49.6,49.21,49.6,2113.0
2017-05-22T00:00:00.000Z,48.84,48.84,48.26,48.68,2483.0
2017-05-23T00:00:00.000Z,49.16,49.16,49.16,49.16,1323.0
2017-05-24T00:00:00.000Z,49.28,49.93,49.28,49.87,2672.0
2017-05-25T00:00:00.000Z,49.87,49.87,49.87,49.87,119.0
2017-05-26T00:00:00.000Z,49.99,50.13,49.99,50.07,1121.0
2017-05-30T00:00:00.000Z,50.12,50.12,50.12,50.12,391.0
2017-05-31T00:00:00.000Z,50.12,50.12,50.12,50.12,140.0
2017-06-01T00:00:00.000Z,49.64,49.85,49.53,49.53,1465.0
2017-06-02T00:00:00.000Z,49.74,49.74,49.47,49.47,733.0
2017-06-05T00:00:00.000Z,49.4,49.45,49.4,49.45,569.0
2017-06-06T00:00:00.000Z,49.73,49.73,49.7,49.7,1548.0
2017-06-07T00:00:00.000Z,49.71,49.78,49.55,49.65,3768.0
2017-06-08T00:00:00.000Z,49.63,49.65,49.4,49.5,2579.0
2017-06-09T00:00:00.000Z,49.74,49.74,49.74,49.74,618.0
2017-06-12T00:00:00.000Z,49.14,49.14,48.99,48.99,347.0
2017-06-13T00:00:00.000Z,49.06,49.2,49.06,49.2,309.0
2017-06-14T00:00:00.000Z,49.62,49.62,49.62,49.62,446.0
2017-06-15T00:00:00.000Z,48.88,48.99,48.88,48.94,720.0
2017-06-16T00:00:00.000Z,48.94,48.94,48.94,48.94,18.0
2017-06-19T00:00:00.000Z,48.8,48.8,48.8,48.8,291.0
2017-06-20T00:00:00.000Z,48.58,48.58,48.23,48.47,846.0
2017-06-21T00:00:00.000Z,48.04,48.04,47.63,47.63,413.0
2017-06-22T00:00:00.000Z,48.07,48.07,48.07,48.07,153.0
2017-06-23T00:00:00.000Z,48.11,48.11,48.07,48.07,649.0
2017-06-26T00:00:00.000Z,48.88,48.91,48.88,48.91,541.0
2017-06-27T00:00:00.000Z,48.67,48.67,48.32,48.32,1167.0
2017-06-28T00:00:00.000Z,48.71,48.85,48.53,48.85,95752.0
2017-06-29T00:00:00.000Z,48.67,48.67,48.65,48.65,45824.0
2017-06-30T00:00:00.000Z,48.94,48.94,48.94,48.94,413.0
2017-07-03T00:00:00.000Z,49.34,49.34,49.1,49.1,610.0
2017-07-05T00:00:00.000Z,49.1,49.1,49.1,49.1,109.0
2017-07-06T00:00:00.000Z,48.93,49.1,48.83,48.95,71849.0
2017-07-07T00:00:00.000Z,49.0,49.1,49.0,49.06,4576.0
2017-07-10T00:00:00.000Z,49.74,49.83,49.71,49.83,3833.0
2017-07-11T00:00:00.000Z,49.76,50.11,49.76,50.11,3185.0
2017-07-12T00:00:00.000Z,50.83,50.83,50.73,50.73,735.0
2017-07-13T00:00:00.000Z,51.5,51.658,51.41,51.658,4337.0
2017-07-14T00:00:00.000Z,52.06,52.25,52.06,52.14,1132.0
2017-07-17T00:00:00.000Z,52.34,52.34,52.18,52.23,1420.0
2017-07-18T00:00:00.000Z,52.47,52.47,52.4454,52.4568,1312.0
2017-07-19T00:00:00.000Z,52.56,52.56,52.42,52.48,2450.0
2017-07-20T00:00:00.000Z,52.63,52.68,52.52,52.66,1031.0
2017-07-21T00:00:00.000Z,52.79,52.79,52.41,52.47,35104.0
2017-07-24T00:00:00.000Z,52.17,52.36,52.09,52.36,17742.0
2017-07-25T00:00:00.000Z,52.3557,52.3557,52.3557,52.3557,0.0
2017-07-26T00:00:00.000Z,52.3557,52.3557,52.3557,52.3557,0.0
2017-07-27T00:00:00.000Z,52.3557,52.3557,52.3557,52.3557,0.0
2017-07-28T00:00:00.000Z,52.3557,52.3557,52.3557,52.3557,0.0
2017-07-31T00:00:00.000Z,52.3557,52.3557,52.3557,52.3557,0.0
2017-08-01T00:00:00.000Z,52.3557,52.3557,52.3557,52.3557,0.0
