date,open,high,low,close,volume
2017-03-10T00:00:00.000Z,27.56,27.64,27.38,27.54,19929.0
2017-03-13T00:00:00.000Z,27.6,27.83,27.6,27.81,5368.0
2017-03-14T00:00:00.000Z,27.75,27.75,27.49,27.52,12013.0
2017-03-15T00:00:00.000Z,27.65,28.27,27.65,28.27,1512.0
2017-03-16T00:00:00.000Z,28.45,28.58,28.4,28.58,4056.0
2017-03-17T00:00:00.000Z,28.81,28.99,28.81,28.99,6169.0
2017-03-20T00:00:00.000Z,28.81,28.95,28.66,28.94,18954.0
2017-03-21T00:00:00.000Z,29.07,29.14,28.75,28.86,14722.0
2017-03-22T00:00:00.000Z,28.46,28.68,28.36,28.68,11041.0
2017-03-23T00:00:00.000Z,28.73,28.79,28.71,28.71,3169.0
2017-03-24T00:00:00.000Z,28.99,29.0,28.83,28.89,6604.0
2017-03-27T00:00:00.000Z,28.52,28.86,28.52,28.85,2892.0
2017-03-28T00:00:00.000Z,28.96,29.08,28.84,28.91,29726.0
2017-03-29T00:00:00.000Z,28.93,29.0,28.86,28.88,11544.0
2017-03-30T00:00:00.000Z,29.25,29.25,28.89,28.89,11154.0
2017-03-31T00:00:00.000Z,28.74,28.81,28.55,28.55,9768.0
2017-04-03T00:00:00.000Z,28.74,28.98,28.61,28.98,4096.0
2017-04-04T00:00:00.000Z,28.78,29.02,28.78,29.02,4383.0
2017-04-05T00:00:00.000Z,29.27,29.46,29.09,29.26,14906.0
2017-04-06T00:00:00.000Z,29.25,29.35,29.18,29.21,10846.0
2017-04-07T00:00:00.000Z,28.91,28.91,28.68,28.75,6259.0
2017-04-10T00:00:00.000Z,28.63,28.63,28.31,28.37,21304.0
2017-04-11T00:00:00.000Z,28.48,28.5,28.35,28.49,4836.0
2017-04-12T00:00:00.000Z,28.26,28.32,28.17,28.25,6210.0
2017-04-13T00:00:00.000Z,28.44,28.57,28.3,28.32,6306.0
2017-04-17T00:00:00.000Z,28.34,28.66,28.34,28.66,1283.0
2017-04-18T00:00:00.000Z,28.28,28.44,28.28,28.3,7332.0
2017-04-19T00:00:00.000Z,28.32,28.57,28.1,28.1,5102.0
2017-04-20T00:00:00.000Z,28.39,28.61,28.3,28.52,15687.0
2017-04-21T00:00:00.000Z,28.56,28.56,28.38,28.39,22820.0
2017-04-24T00:00:00.000Z,29.02,29.42,29.02,29.38,8652.0
2017-04-25T00:00:00.000Z,29.61,29.76,29.61,29.76,8768.0
2017-04-26T00:00:00.000Z,29.69,29.8,29.69,29.73,11925.0
2017-04-27T00:00:00.000Z,29.84,29.88,29.63,29.75,7023.0
2017-04-28T00:00:00.000Z,29.91,29.98,29.74,29.9,9985.0
2017-05-01T00:00:00.000Z,30.0,30.04,29.95,30.0,3650.0
2017-05-02T00:00:00.000Z,30.19,30.25,29.98,29.99,28848.0
2017-05-03T00:00:00.000Z,29.86,29.89,29.71,29.74,9227.0
2017-05-04T00:00:00.000Z,29.62,29.73,29.39,29.39,7925.0
2017-05-05T00:00:00.000Z,29.4,29.77,29.4,29.76,12110.0
2017-05-08T00:00:00.000Z,29.71,29.71,29.51,29.55,7890.0
2017-05-09T00:00:00.000Z,29.71,29.87,29.52,29.55,9562.0
2017-05-10T00:00:00.000Z,29.91,30.18,29.83,30.18,6135.0
2017-05-11T00:00:00.000Z,30.03,30.19,29.86,30.19,42379.0
2017-05-12T00:00:00.000Z,29.93,30.09,29.81,29.99,6117.0
2017-05-15T00:00:00.000Z,30.29,30.59,30.29,30.47,6869.0
2017-05-16T00:00:00.000Z,30.47,30.53,30.37,30.49,7404.0
2017-05-17T00:00:00.000Z,30.35,30.35,29.87,29.98,29536.0
2017-05-18T00:00:00.000Z,29.52,29.85,29.15,29.5,17517.0
2017-05-19T00:00:00.000Z,29.96,30.15,29.92,30.14,13822.0
2017-05-22T00:00:00.000Z,30.08,30.27,30.03,30.22,6621.0
2017-05-23T00:00:00.000Z,30.21,30.33,30.12,30.33,11153.0
2017-05-24T00:00:00.000Z,30.1,30.32,30.1,30.31,6843.0
2017-05-25T00:00:00.000Z,30.31,30.33,30.02,30.02,16637.0
2017-05-26T00:00:00.000Z,29.96,30.11,29.89,30.01,6434.0
2017-05-30T00:00:00.000Z,29.97,30.13,29.91,30.06,13566.0
2017-05-31T00:00:00.000Z,29.85,29.89,29.46,29.67,13189.0
2017-06-01T00:00:00.000Z,29.57,29.81,29.5,29.6,15107.0
2017-06-02T00:00:00.000Z,29.77,29.97,29.77,29.87,9927.0
