date,open,high,low,close,volume
2019-11-11T00:00:00.000Z,11.09,11.22,11.0509,11.19,7386.0
2019-11-12T00:00:00.000Z,11.14,11.15,11.02,11.02,17301.0
2019-11-13T00:00:00.000Z,10.9,10.92,10.87,10.88,13476.0
2019-11-14T00:00:00.000Z,10.84,10.84,10.725,10.745,7549.0
2019-11-15T00:00:00.000Z,10.79,10.83,10.761,10.77,3856.0
2019-11-18T00:00:00.000Z,10.76,10.76,10.671,10.68,15719.0
2019-11-19T00:00:00.000Z,10.75,10.75,10.62,10.6376,6640.0
2019-11-20T00:00:00.000Z,10.6,10.6128,10.53,10.54,9273.0
2019-11-21T00:00:00.000Z,10.63,10.63,10.5168,10.57,6890.0
2019-11-22T00:00:00.000Z,10.63,10.63,10.59,10.59,9410.0
2019-11-25T00:00:00.000Z,10.65,10.77,10.5948,10.73,27503.0
2019-11-26T00:00:00.000Z,10.74,10.8006,10.7301,10.8006,18780.0
2019-11-27T00:00:00.000Z,10.83,10.87,10.81,10.87,55995.0
2019-11-29T00:00:00.000Z,10.72,10.74,10.61,10.705,30800.0
2019-12-02T00:00:00.000Z,10.78,10.78,10.62,10.66,66030.0
2019-12-03T00:00:00.000Z,10.5,10.5,10.41,10.47,14632.0
2019-12-04T00:00:00.000Z,10.48,10.546,10.48,10.52,21772.0
2019-12-05T00:00:00.000Z,10.53,10.53,10.45,10.46,12037.0
2019-12-06T00:00:00.000Z,10.5,10.55,10.5,10.52,11226.0
2019-12-09T00:00:00.000Z,10.51,10.6,10.51,10.53,21897.0
2019-12-10T00:00:00.000Z,10.48,10.56,10.48,10.53,8953.0
2019-12-11T00:00:00.000Z,10.638,10.69,10.6068,10.64,12839.0
2019-12-12T00:00:00.000Z,10.64,10.77,10.59,10.77,13843.0
2019-12-13T00:00:00.000Z,10.82,10.86,10.72,10.81,112549.0
2019-12-16T00:00:00.000Z,10.91,11.07,10.9,11.02,47556.0
2019-12-17T00:00:00.000Z,11.1,11.1,10.95,10.95,607848.0
2019-12-18T00:00:00.000Z,11.0,11.0,10.95,10.95,566153.0
2019-12-19T00:00:00.000Z,10.86,10.9,10.85,10.87,42694.0
2019-12-20T00:00:00.000Z,10.88,10.88,10.75,10.78,100985.0
2019-12-23T00:00:00.000Z,9.82,9.82,9.65,9.74,50973.0
2019-12-24T00:00:00.000Z,9.71,9.77,9.71,9.72,41434.0
2019-12-26T00:00:00.000Z,9.74,9.8906,9.74,9.87,32142.0
2019-12-27T00:00:00.000Z,9.85,9.919,9.845,9.85,28040.0
2019-12-30T00:00:00.000Z,10.03,10.03,9.89,9.89,26491.0
2019-12-31T00:00:00.000Z,9.83,9.9,9.83,9.8904,36377.0
2020-01-02T00:00:00.000Z,9.9,10.05,9.9,10.05,15481.0
2020-01-03T00:00:00.000Z,9.98,10.045,9.9726,9.9757,9895.0
2020-01-06T00:00:00.000Z,9.98,9.99,9.9299,9.97,18202.0
2020-01-07T00:00:00.000Z,9.99,9.99,9.92,9.93,6653.0
2020-01-08T00:00:00.000Z,9.93,9.93,9.7989,9.83,11975.0
2020-01-09T00:00:00.000Z,9.95,9.95,9.7475,9.75,41888.0
2020-01-10T00:00:00.000Z,9.82,9.89,9.82,9.86,9622.0
2020-01-13T00:00:00.000Z,9.93,10.0,9.9,10.0,18744.0
2020-01-14T00:00:00.000Z,9.97,10.04,9.97,10.04,8430.0
2020-01-15T00:00:00.000Z,9.99,9.99,9.82,9.85,7771.0
2020-01-16T00:00:00.000Z,9.84,9.8987,9.84,9.87,14672.0
2020-01-17T00:00:00.000Z,9.9,9.9,9.85,9.86,12455.0
2020-01-21T00:00:00.000Z,9.66,9.66,9.45,9.46,38924.0
2020-01-22T00:00:00.000Z,9.49,9.49,9.38,9.4,15071.0
2020-01-23T00:00:00.000Z,9.32,9.32,9.192,9.28,15712.0
2020-01-24T00:00:00.000Z,9.19,9.19,9.01,9.06,26771.0
2020-01-27T00:00:00.000Z,8.74,8.81,8.67,8.74,37325.0
2020-01-28T00:00:00.000Z,8.75,8.808,8.75,8.771,6701.0
2020-01-29T00:00:00.000Z,8.74,8.77,8.725,8.74,10771.0
2020-01-30T00:00:00.000Z,8.66,8.6614,8.561,8.65,16802.0
2020-01-31T00:00:00.000Z,8.53,8.53,8.32,8.36,154053.0
2020-02-03T00:00:00.000Z,8.38,8.39,8.34,8.36,9818.0
2020-02-04T00:00:00.000Z,8.6,8.64,8.56,8.62,18703.0
2020-02-05T00:00:00.000Z,8.67,8.848,8.67,8.79,20824.0
2020-02-06T00:00:00.000Z,8.8,8.8,8.71,8.7259,10765.0
2020-02-07T00:00:00.000Z,8.56,8.59,8.54,8.55,8129.0
2020-02-10T00:00:00.000Z,8.52,8.59,8.52,8.57,10669.0
2020-02-11T00:00:00.000Z,8.63,8.73,8.6,8.66,6510.0
2020-02-12T00:00:00.000Z,8.77,8.77,8.685,8.71,14183.0
2020-02-13T00:00:00.000Z,8.6,8.71,8.6,8.68,22937.0
2020-02-14T00:00:00.000Z,8.68,8.75,8.65,8.66,8261.0
2020-02-18T00:00:00.000Z,8.61,8.6567,8.61,8.62,7779.0
2020-02-19T00:00:00.000Z,8.58,8.67,8.58,8.64,4284.0
2020-02-20T00:00:00.000Z,8.64,8.64,8.47,8.48,15090.0
2020-02-21T00:00:00.000Z,8.25,8.2858,8.23,8.23,10227.0
2020-02-24T00:00:00.000Z,7.94,7.94,7.8578,7.91,25125.0
2020-02-25T00:00:00.000Z,7.95,7.95,7.8,7.8,12350.0
2020-02-26T00:00:00.000Z,7.83,7.8999,7.74,7.7415,24245.0
2020-02-27T00:00:00.000Z,7.64,7.6693,7.46,7.58,62730.0
2020-02-28T00:00:00.000Z,7.44,7.61,7.36,7.61,188933.0
2020-03-02T00:00:00.000Z,7.63,7.72,7.5303,7.72,96311.0
2020-03-03T00:00:00.000Z,7.86,7.93,7.69,7.76,24765.0
2020-03-04T00:00:00.000Z,7.87,7.94,7.8443,7.93,12487.0
2020-03-05T00:00:00.000Z,7.8,7.8,7.6962,7.6962,5910.0
2020-03-06T00:00:00.000Z,7.64,7.64,7.4986,7.58,12848.0
2020-03-09T00:00:00.000Z,7.02,7.02,6.63,6.78,39489.0
2020-03-10T00:00:00.000Z,7.23,7.23,6.9501,7.16,40177.0
2020-03-11T00:00:00.000Z,6.83,6.8521,6.65,6.69,67170.0
2020-03-12T00:00:00.000Z,6.08,6.27,6.0,6.0144,20267.0
2020-03-13T00:00:00.000Z,6.54,6.54,6.15,6.5151,13848.0
2020-03-16T00:00:00.000Z,5.86,5.99,5.62,5.91,48545.0
2020-03-17T00:00:00.000Z,5.94,6.21,5.91,6.13,33914.0
2020-03-18T00:00:00.000Z,5.77,5.8336,5.46,5.54,27481.0
2020-03-19T00:00:00.000Z,5.54,5.75,5.47,5.6499,16819.0
2020-03-20T00:00:00.000Z,5.79,5.8999,5.55,5.55,27358.0
2020-03-23T00:00:00.000Z,5.6,5.6287,5.4099,5.43,20972.0
2020-03-24T00:00:00.000Z,5.7,5.93,5.7,5.93,20005.0
2020-03-25T00:00:00.000Z,6.0,6.21,5.9597,6.08,12695.0
2020-03-26T00:00:00.000Z,6.16,6.32,6.1,6.3011,9622.0
2020-03-27T00:00:00.000Z,5.98,6.0157,5.9,5.92,22008.0
