date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,15.39,15.39,15.39,15.39,0.0
2019-11-06T00:00:00.000Z,15.47,15.47,15.47,15.47,0.0
2019-11-07T00:00:00.000Z,15.44,15.44,15.44,15.44,0.0
2019-11-08T00:00:00.000Z,15.45,15.45,15.45,15.45,0.0
2019-11-11T00:00:00.000Z,15.46,15.46,15.46,15.46,0.0
2019-11-12T00:00:00.000Z,15.54,15.54,15.54,15.54,0.0
2019-11-13T00:00:00.000Z,15.58,15.58,15.58,15.58,0.0
2019-11-14T00:00:00.000Z,15.59,15.59,15.59,15.59,0.0
2019-11-15T00:00:00.000Z,15.64,15.64,15.64,15.64,0.0
2019-11-18T00:00:00.000Z,15.7,15.7,15.7,15.7,0.0
2019-11-19T00:00:00.000Z,15.67,15.67,15.67,15.67,0.0
2019-11-20T00:00:00.000Z,15.63,15.63,15.63,15.63,0.0
2019-11-21T00:00:00.000Z,15.54,15.54,15.54,15.54,0.0
2019-11-22T00:00:00.000Z,15.63,15.63,15.63,15.63,0.0
2019-11-25T00:00:00.000Z,15.77,15.77,15.77,15.77,0.0
2019-11-26T00:00:00.000Z,15.92,15.92,15.92,15.92,0.0
2019-11-27T00:00:00.000Z,16.07,16.07,16.07,16.07,0.0
2019-11-29T00:00:00.000Z,15.97,15.97,15.97,15.97,0.0
2019-12-02T00:00:00.000Z,15.91,15.91,15.91,15.91,0.0
2019-12-03T00:00:00.000Z,15.81,15.81,15.81,15.81,0.0
2019-12-04T00:00:00.000Z,15.9,15.9,15.9,15.9,0.0
2019-12-05T00:00:00.000Z,15.89,15.89,15.89,15.89,0.0
2019-12-06T00:00:00.000Z,16.04,16.04,16.04,16.04,0.0
2019-12-09T00:00:00.000Z,16.0,16.0,16.0,16.0,0.0
2019-12-10T00:00:00.000Z,15.99,15.99,15.99,15.99,0.0
2019-12-11T00:00:00.000Z,16.08,16.08,16.08,16.08,0.0
2019-12-12T00:00:00.000Z,16.27,16.27,16.27,16.27,0.0
2019-12-13T00:00:00.000Z,16.33,16.33,16.33,16.33,0.0
2019-12-16T00:00:00.000Z,16.45,16.45,16.45,16.45,0.0
2019-12-17T00:00:00.000Z,16.43,16.43,16.43,16.43,0.0
2019-12-18T00:00:00.000Z,16.45,16.45,16.45,16.45,0.0
2019-12-19T00:00:00.000Z,16.55,16.55,16.55,16.55,0.0
2019-12-20T00:00:00.000Z,15.61,15.61,15.61,15.61,0.0
2019-12-23T00:00:00.000Z,15.62,15.62,15.62,15.62,0.0
2019-12-24T00:00:00.000Z,15.64,15.64,15.64,15.64,0.0
2019-12-26T00:00:00.000Z,15.69,15.69,15.69,15.69,0.0
2019-12-27T00:00:00.000Z,15.7,15.7,15.7,15.7,0.0
2019-12-30T00:00:00.000Z,15.62,15.62,15.62,15.62,0.0
2019-12-31T00:00:00.000Z,15.64,15.64,15.64,15.64,0.0
2020-01-02T00:00:00.000Z,15.83,15.83,15.83,15.83,0.0
2020-01-03T00:00:00.000Z,15.74,15.74,15.74,15.74,0.0
2020-01-06T00:00:00.000Z,15.75,15.75,15.75,15.75,0.0
2020-01-07T00:00:00.000Z,15.75,15.75,15.75,15.75,0.0
2020-01-08T00:00:00.000Z,15.9,15.9,15.9,15.9,0.0
2020-01-09T00:00:00.000Z,16.04,16.04,16.04,16.04,0.0
2020-01-10T00:00:00.000Z,15.95,15.95,15.95,15.95,0.0
2020-01-13T00:00:00.000Z,16.02,16.02,16.02,16.02,0.0
2020-01-14T00:00:00.000Z,16.04,16.04,16.04,16.04,0.0
2020-01-15T00:00:00.000Z,16.09,16.09,16.09,16.09,0.0
2020-01-16T00:00:00.000Z,16.26,16.26,16.26,16.26,0.0
2020-01-17T00:00:00.000Z,16.39,16.39,16.39,16.39,0.0
2020-01-21T00:00:00.000Z,16.14,16.14,16.14,16.14,0.0
2020-01-22T00:00:00.000Z,16.16,16.16,16.16,16.16,0.0
2020-01-23T00:00:00.000Z,16.24,16.24,16.24,16.24,0.0
2020-01-24T00:00:00.000Z,16.0,16.0,16.0,16.0,0.0
2020-01-27T00:00:00.000Z,15.64,15.64,15.64,15.64,0.0
2020-01-28T00:00:00.000Z,15.74,15.74,15.74,15.74,0.0
2020-01-29T00:00:00.000Z,15.81,15.81,15.81,15.81,0.0
2020-01-30T00:00:00.000Z,15.82,15.82,15.82,15.82,0.0
2020-01-31T00:00:00.000Z,15.6,15.6,15.6,15.6,0.0
2020-02-03T00:00:00.000Z,15.72,15.72,15.72,15.72,0.0
2020-02-04T00:00:00.000Z,15.96,15.96,15.96,15.96,0.0
2020-02-05T00:00:00.000Z,15.99,15.99,15.99,15.99,0.0
2020-02-06T00:00:00.000Z,15.9,15.9,15.9,15.9,0.0
2020-02-07T00:00:00.000Z,15.76,15.76,15.76,15.76,0.0
2020-02-10T00:00:00.000Z,15.93,15.93,15.93,15.93,0.0
2020-02-11T00:00:00.000Z,16.06,16.06,16.06,16.06,0.0
2020-02-12T00:00:00.000Z,16.28,16.28,16.28,16.28,0.0
2020-02-13T00:00:00.000Z,16.32,16.32,16.32,16.32,0.0
2020-02-14T00:00:00.000Z,16.29,16.29,16.29,16.29,0.0
2020-02-18T00:00:00.000Z,16.24,16.24,16.24,16.24,0.0
2020-02-19T00:00:00.000Z,16.32,16.32,16.32,16.32,0.0
2020-02-20T00:00:00.000Z,16.21,16.21,16.21,16.21,0.0
2020-02-21T00:00:00.000Z,16.06,16.06,16.06,16.06,0.0
2020-02-24T00:00:00.000Z,15.47,15.47,15.47,15.47,0.0
2020-02-25T00:00:00.000Z,14.94,14.94,14.94,14.94,0.0
2020-02-26T00:00:00.000Z,14.55,14.55,14.55,14.55,0.0
2020-02-27T00:00:00.000Z,14.01,14.01,14.01,14.01,0.0
2020-02-28T00:00:00.000Z,13.89,13.89,13.89,13.89,0.0
2020-03-02T00:00:00.000Z,14.17,14.17,14.17,14.17,0.0
2020-03-03T00:00:00.000Z,13.73,13.73,13.73,13.73,0.0
2020-03-04T00:00:00.000Z,14.09,14.09,14.09,14.09,0.0
2020-03-05T00:00:00.000Z,13.3,13.3,13.3,13.3,0.0
2020-03-06T00:00:00.000Z,13.22,13.22,13.22,13.22,0.0
2020-03-09T00:00:00.000Z,12.18,12.18,12.18,12.18,0.0
2020-03-10T00:00:00.000Z,12.86,12.86,12.86,12.86,0.0
2020-03-11T00:00:00.000Z,11.78,11.78,11.78,11.78,0.0
2020-03-12T00:00:00.000Z,10.51,10.51,10.51,10.51,0.0
2020-03-13T00:00:00.000Z,11.34,11.34,11.34,11.34,0.0
2020-03-16T00:00:00.000Z,9.51,9.51,9.51,9.51,0.0
2020-03-17T00:00:00.000Z,9.3,9.3,9.3,9.3,0.0
2020-03-18T00:00:00.000Z,8.45,8.45,8.45,8.45,0.0
