date,open,high,low,close,volume
2019-11-06T00:00:00.000Z,22.03,22.03,22.03,22.03,0.0
2019-11-07T00:00:00.000Z,21.99,21.99,21.99,21.99,0.0
2019-11-08T00:00:00.000Z,22.18,22.18,22.18,22.18,0.0
2019-11-11T00:00:00.000Z,22.13,22.13,22.13,22.13,0.0
2019-11-12T00:00:00.000Z,22.15,22.15,22.15,22.15,0.0
2019-11-13T00:00:00.000Z,22.24,22.24,22.24,22.24,0.0
2019-11-14T00:00:00.000Z,22.08,22.08,22.08,22.08,0.0
2019-11-15T00:00:00.000Z,22.34,22.34,22.34,22.34,0.0
2019-11-18T00:00:00.000Z,22.39,22.39,22.39,22.39,0.0
2019-11-19T00:00:00.000Z,22.48,22.48,22.48,22.48,0.0
2019-11-20T00:00:00.000Z,22.5,22.5,22.5,22.5,0.0
2019-11-21T00:00:00.000Z,22.61,22.61,22.61,22.61,0.0
2019-11-22T00:00:00.000Z,22.68,22.68,22.68,22.68,0.0
2019-11-25T00:00:00.000Z,22.95,22.95,22.95,22.95,0.0
2019-11-26T00:00:00.000Z,23.01,23.01,23.01,23.01,0.0
2019-11-27T00:00:00.000Z,23.1,23.1,23.1,23.1,0.0
2019-11-29T00:00:00.000Z,23.06,23.06,23.06,23.06,0.0
2019-12-02T00:00:00.000Z,22.96,22.96,22.96,22.96,0.0
2019-12-03T00:00:00.000Z,22.98,22.98,22.98,22.98,0.0
2019-12-04T00:00:00.000Z,23.23,23.23,23.23,23.23,0.0
2019-12-05T00:00:00.000Z,23.22,23.22,23.22,23.22,0.0
2019-12-06T00:00:00.000Z,23.34,23.34,23.34,23.34,0.0
2019-12-09T00:00:00.000Z,23.45,23.45,23.45,23.45,0.0
2019-12-10T00:00:00.000Z,23.66,23.66,23.66,23.66,0.0
2019-12-11T00:00:00.000Z,23.75,23.75,23.75,23.75,0.0
2019-12-12T00:00:00.000Z,23.9,23.9,23.9,23.9,0.0
2019-12-13T00:00:00.000Z,24.01,24.01,24.01,24.01,0.0
2019-12-16T00:00:00.000Z,24.2,24.2,24.2,24.2,0.0
2019-12-17T00:00:00.000Z,24.29,24.29,24.29,24.29,0.0
2019-12-18T00:00:00.000Z,24.29,24.29,24.29,24.29,0.0
2019-12-19T00:00:00.000Z,24.46,24.46,24.46,24.46,0.0
2019-12-20T00:00:00.000Z,23.31,23.31,23.31,23.31,0.0
2019-12-23T00:00:00.000Z,23.34,23.34,23.34,23.34,0.0
2019-12-24T00:00:00.000Z,23.36,23.36,23.36,23.36,0.0
2019-12-26T00:00:00.000Z,23.38,23.38,23.38,23.38,0.0
2019-12-27T00:00:00.000Z,23.41,23.41,23.41,23.41,0.0
2019-12-30T00:00:00.000Z,23.25,23.25,23.25,23.25,0.0
2019-12-31T00:00:00.000Z,23.31,23.31,23.31,23.31,0.0
2020-01-02T00:00:00.000Z,23.38,23.38,23.38,23.38,0.0
2020-01-03T00:00:00.000Z,23.24,23.24,23.24,23.24,0.0
2020-01-06T00:00:00.000Z,23.31,23.31,23.31,23.31,0.0
2020-01-07T00:00:00.000Z,23.29,23.29,23.29,23.29,0.0
2020-01-08T00:00:00.000Z,23.35,23.35,23.35,23.35,0.0
2020-01-09T00:00:00.000Z,23.51,23.51,23.51,23.51,0.0
2020-01-10T00:00:00.000Z,23.57,23.57,23.57,23.57,0.0
2020-01-13T00:00:00.000Z,23.6,23.6,23.6,23.6,0.0
2020-01-14T00:00:00.000Z,23.8,23.8,23.8,23.8,0.0
2020-01-15T00:00:00.000Z,23.95,23.95,23.95,23.95,0.0
2020-01-16T00:00:00.000Z,24.02,24.02,24.02,24.02,0.0
2020-01-17T00:00:00.000Z,24.08,24.08,24.08,24.08,0.0
2020-01-21T00:00:00.000Z,24.0,24.0,24.0,24.0,0.0
2020-01-22T00:00:00.000Z,23.91,23.91,23.91,23.91,0.0
2020-01-23T00:00:00.000Z,23.77,23.77,23.77,23.77,0.0
2020-01-24T00:00:00.000Z,23.32,23.32,23.32,23.32,0.0
2020-01-27T00:00:00.000Z,23.15,23.15,23.15,23.15,0.0
2020-01-28T00:00:00.000Z,23.46,23.46,23.46,23.46,0.0
2020-01-29T00:00:00.000Z,23.5,23.5,23.5,23.5,0.0
2020-01-30T00:00:00.000Z,23.44,23.44,23.44,23.44,0.0
2020-01-31T00:00:00.000Z,23.17,23.17,23.17,23.17,0.0
2020-02-03T00:00:00.000Z,23.37,23.37,23.37,23.37,0.0
2020-02-04T00:00:00.000Z,23.7,23.7,23.7,23.7,0.0
2020-02-05T00:00:00.000Z,23.96,23.96,23.96,23.96,0.0
2020-02-06T00:00:00.000Z,24.09,24.09,24.09,24.09,0.0
2020-02-07T00:00:00.000Z,23.88,23.88,23.88,23.88,0.0
2020-02-10T00:00:00.000Z,24.08,24.08,24.08,24.08,0.0
2020-02-11T00:00:00.000Z,24.1,24.1,24.1,24.1,0.0
2020-02-12T00:00:00.000Z,24.01,24.01,24.01,24.01,0.0
2020-02-13T00:00:00.000Z,23.84,23.84,23.84,23.84,0.0
2020-02-14T00:00:00.000Z,23.76,23.76,23.76,23.76,0.0
2020-02-18T00:00:00.000Z,23.85,23.85,23.85,23.85,0.0
2020-02-19T00:00:00.000Z,23.91,23.91,23.91,23.91,0.0
2020-02-20T00:00:00.000Z,23.82,23.82,23.82,23.82,0.0
2020-02-21T00:00:00.000Z,23.89,23.89,23.89,23.89,0.0
2020-02-24T00:00:00.000Z,23.09,23.09,23.09,23.09,0.0
2020-02-25T00:00:00.000Z,22.68,22.68,22.68,22.68,0.0
2020-02-26T00:00:00.000Z,22.77,22.77,22.77,22.77,0.0
2020-02-27T00:00:00.000Z,22.05,22.05,22.05,22.05,0.0
2020-02-28T00:00:00.000Z,21.71,21.71,21.71,21.71,0.0
2020-03-02T00:00:00.000Z,22.63,22.63,22.63,22.63,0.0
2020-03-03T00:00:00.000Z,22.22,22.22,22.22,22.22,0.0
2020-03-04T00:00:00.000Z,23.34,23.34,23.34,23.34,0.0
2020-03-05T00:00:00.000Z,23.04,23.04,23.04,23.04,0.0
2020-03-06T00:00:00.000Z,22.71,22.71,22.71,22.71,0.0
2020-03-09T00:00:00.000Z,21.5,21.5,21.5,21.5,0.0
2020-03-10T00:00:00.000Z,22.07,22.07,22.07,22.07,0.0
2020-03-11T00:00:00.000Z,21.13,21.13,21.13,21.13,0.0
2020-03-12T00:00:00.000Z,19.38,19.38,19.38,19.38,0.0
2020-03-13T00:00:00.000Z,20.61,20.61,20.61,20.61,0.0
2020-03-16T00:00:00.000Z,18.78,18.78,18.78,18.78,0.0
2020-03-17T00:00:00.000Z,20.06,20.06,20.06,20.06,0.0
2020-03-18T00:00:00.000Z,19.42,19.42,19.42,19.42,0.0
2020-03-19T00:00:00.000Z,19.25,19.25,19.25,19.25,0.0
2020-03-20T00:00:00.000Z,18.58,18.58,18.58,18.58,0.0
2020-03-23T00:00:00.000Z,18.08,18.08,18.08,18.08,0.0
2020-03-24T00:00:00.000Z,19.18,19.18,19.18,19.18,0.0
2020-03-25T00:00:00.000Z,19.35,19.35,19.35,19.35,0.0
2020-03-26T00:00:00.000Z,20.36,20.36,20.36,20.36,0.0
2020-03-27T00:00:00.000Z,20.14,20.14,20.14,20.14,0.0
2020-03-30T00:00:00.000Z,21.05,21.05,21.05,21.05,0.0
2020-03-31T00:00:00.000Z,20.98,20.98,20.98,20.98,0.0
