date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,21.9,21.9,21.9,21.9,0.0
2019-11-06T00:00:00.000Z,22.1,22.1,22.1,22.1,0.0
2019-11-07T00:00:00.000Z,21.78,21.78,21.78,21.78,0.0
2019-11-08T00:00:00.000Z,21.43,21.43,21.43,21.43,0.0
2019-11-11T00:00:00.000Z,21.48,21.48,21.48,21.48,0.0
2019-11-12T00:00:00.000Z,21.66,21.66,21.66,21.66,0.0
2019-11-13T00:00:00.000Z,21.91,21.91,21.91,21.91,0.0
2019-11-14T00:00:00.000Z,22.08,22.08,22.08,22.08,0.0
2019-11-15T00:00:00.000Z,21.93,21.93,21.93,21.93,0.0
2019-11-18T00:00:00.000Z,22.13,22.13,22.13,22.13,0.0
2019-11-19T00:00:00.000Z,22.26,22.26,22.26,22.26,0.0
2019-11-20T00:00:00.000Z,22.26,22.26,22.26,22.26,0.0
2019-11-21T00:00:00.000Z,21.9,21.9,21.9,21.9,0.0
2019-11-22T00:00:00.000Z,21.78,21.78,21.78,21.78,0.0
2019-11-25T00:00:00.000Z,21.35,21.35,21.35,21.35,0.0
2019-11-26T00:00:00.000Z,21.76,21.76,21.76,21.76,0.0
2019-11-27T00:00:00.000Z,21.79,21.79,21.79,21.79,0.0
2019-11-29T00:00:00.000Z,22.05,22.05,22.05,22.05,0.0
2019-12-02T00:00:00.000Z,22.2,22.2,22.2,22.2,0.0
2019-12-03T00:00:00.000Z,22.61,22.61,22.61,22.61,0.0
2019-12-04T00:00:00.000Z,22.43,22.43,22.43,22.43,0.0
2019-12-05T00:00:00.000Z,22.6,22.6,22.6,22.6,0.0
2019-12-06T00:00:00.000Z,22.16,22.16,22.16,22.16,0.0
2019-12-09T00:00:00.000Z,22.05,22.05,22.05,22.05,0.0
2019-12-10T00:00:00.000Z,22.24,22.24,22.24,22.24,0.0
2019-12-11T00:00:00.000Z,22.79,22.79,22.79,22.79,0.0
2019-12-12T00:00:00.000Z,22.75,22.75,22.75,22.75,0.0
2019-12-13T00:00:00.000Z,22.66,22.66,22.66,22.66,0.0
2019-12-16T00:00:00.000Z,22.45,22.45,22.45,22.45,0.0
2019-12-17T00:00:00.000Z,22.3,22.3,22.3,22.3,0.0
2019-12-18T00:00:00.000Z,22.53,22.53,22.53,22.53,0.0
2019-12-19T00:00:00.000Z,22.58,22.58,22.58,22.58,0.0
2019-12-20T00:00:00.000Z,22.38,22.38,22.38,22.38,0.0
2019-12-23T00:00:00.000Z,22.91,22.91,22.91,22.91,0.0
2019-12-24T00:00:00.000Z,23.67,23.67,23.67,23.67,0.0
2019-12-26T00:00:00.000Z,23.98,23.98,23.98,23.98,0.0
2019-12-27T00:00:00.000Z,23.91,23.91,23.91,23.91,0.0
2019-12-30T00:00:00.000Z,24.33,24.33,24.33,24.33,0.0
2019-12-31T00:00:00.000Z,24.38,24.38,24.38,24.38,0.0
2020-01-02T00:00:00.000Z,24.19,24.19,24.19,24.19,0.0
2020-01-03T00:00:00.000Z,24.22,24.22,24.22,24.22,0.0
2020-01-06T00:00:00.000Z,24.3,24.3,24.3,24.3,0.0
2020-01-07T00:00:00.000Z,24.34,24.34,24.34,24.34,0.0
2020-01-08T00:00:00.000Z,23.59,23.59,23.59,23.59,0.0
2020-01-09T00:00:00.000Z,23.32,23.32,23.32,23.32,0.0
2020-01-10T00:00:00.000Z,23.63,23.63,23.63,23.63,0.0
2020-01-13T00:00:00.000Z,23.21,23.21,23.21,23.21,0.0
2020-01-14T00:00:00.000Z,23.4,23.4,23.4,23.4,0.0
2020-01-15T00:00:00.000Z,23.88,23.88,23.88,23.88,0.0
2020-01-16T00:00:00.000Z,23.84,23.84,23.84,23.84,0.0
2020-01-17T00:00:00.000Z,23.84,23.84,23.84,23.84,0.0
2020-01-21T00:00:00.000Z,24.22,24.22,24.22,24.22,0.0
2020-01-22T00:00:00.000Z,24.18,24.18,24.18,24.18,0.0
2020-01-23T00:00:00.000Z,24.13,24.13,24.13,24.13,0.0
2020-01-24T00:00:00.000Z,24.5,24.5,24.5,24.5,0.0
2020-01-27T00:00:00.000Z,24.39,24.39,24.39,24.39,0.0
2020-01-28T00:00:00.000Z,23.89,23.89,23.89,23.89,0.0
2020-01-29T00:00:00.000Z,24.21,24.21,24.21,24.21,0.0
2020-01-30T00:00:00.000Z,24.33,24.33,24.33,24.33,0.0
2020-01-31T00:00:00.000Z,24.45,24.45,24.45,24.45,0.0
2020-02-03T00:00:00.000Z,24.17,24.17,24.17,24.17,0.0
2020-02-04T00:00:00.000Z,23.8,23.8,23.8,23.8,0.0
2020-02-05T00:00:00.000Z,23.71,23.71,23.71,23.71,0.0
2020-02-06T00:00:00.000Z,23.88,23.88,23.88,23.88,0.0
2020-02-07T00:00:00.000Z,23.61,23.61,23.61,23.61,0.0
2020-02-10T00:00:00.000Z,23.94,23.94,23.94,23.94,0.0
2020-02-11T00:00:00.000Z,23.91,23.91,23.91,23.91,0.0
2020-02-12T00:00:00.000Z,23.67,23.67,23.67,23.67,0.0
2020-02-13T00:00:00.000Z,23.9,23.9,23.9,23.9,0.0
2020-02-14T00:00:00.000Z,23.93,23.93,23.93,23.93,0.0
2020-02-18T00:00:00.000Z,24.72,24.72,24.72,24.72,0.0
2020-02-19T00:00:00.000Z,25.16,25.16,25.16,25.16,0.0
2020-02-20T00:00:00.000Z,25.26,25.26,25.26,25.26,0.0
2020-02-21T00:00:00.000Z,26.01,26.01,26.01,26.01,0.0
2020-02-24T00:00:00.000Z,26.24,26.24,26.24,26.24,0.0
2020-02-25T00:00:00.000Z,25.28,25.28,25.28,25.28,0.0
2020-02-26T00:00:00.000Z,25.16,25.16,25.16,25.16,0.0
2020-02-27T00:00:00.000Z,23.74,23.74,23.74,23.74,0.0
2020-02-28T00:00:00.000Z,22.33,22.33,22.33,22.33,0.0
2020-03-02T00:00:00.000Z,22.99,22.99,22.99,22.99,0.0
2020-03-03T00:00:00.000Z,24.11,24.11,24.11,24.11,0.0
2020-03-04T00:00:00.000Z,24.38,24.38,24.38,24.38,0.0
2020-03-05T00:00:00.000Z,24.95,24.95,24.95,24.95,0.0
2020-03-06T00:00:00.000Z,24.92,24.92,24.92,24.92,0.0
2020-03-09T00:00:00.000Z,23.06,23.06,23.06,23.06,0.0
2020-03-10T00:00:00.000Z,22.95,22.95,22.95,22.95,0.0
2020-03-11T00:00:00.000Z,21.49,21.49,21.49,21.49,0.0
2020-03-12T00:00:00.000Z,19.5,19.5,19.5,19.5,0.0
2020-03-13T00:00:00.000Z,17.41,17.41,17.41,17.41,0.0
2020-03-16T00:00:00.000Z,18.39,18.39,18.39,18.39,0.0
2020-03-17T00:00:00.000Z,20.42,20.42,20.42,20.42,0.0
2020-03-18T00:00:00.000Z,18.27,18.27,18.27,18.27,0.0
2020-03-19T00:00:00.000Z,18.5,18.5,18.5,18.5,0.0
2020-03-20T00:00:00.000Z,17.64,17.64,17.64,17.64,0.0
2020-03-23T00:00:00.000Z,18.65,18.65,18.65,18.65,0.0
2020-03-24T00:00:00.000Z,21.21,21.21,21.21,21.21,0.0
2020-03-25T00:00:00.000Z,21.9,21.9,21.9,21.9,0.0
2020-03-26T00:00:00.000Z,21.73,21.73,21.73,21.73,0.0
2020-03-27T00:00:00.000Z,20.41,20.41,20.41,20.41,0.0
2020-03-30T00:00:00.000Z,20.23,20.23,20.23,20.23,0.0
