date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,37.08,37.08,37.08,37.08,0.0
2019-11-06T00:00:00.000Z,37.11,37.11,37.11,37.11,0.0
2019-11-07T00:00:00.000Z,37.35,37.35,37.35,37.35,0.0
2019-11-08T00:00:00.000Z,37.56,37.56,37.56,37.56,0.0
2019-11-11T00:00:00.000Z,37.68,37.68,37.68,37.68,0.0
2019-11-12T00:00:00.000Z,37.66,37.66,37.66,37.66,0.0
2019-11-13T00:00:00.000Z,37.23,37.23,37.23,37.23,0.0
2019-11-14T00:00:00.000Z,37.27,37.27,37.27,37.27,0.0
2019-11-15T00:00:00.000Z,37.49,37.49,37.49,37.49,0.0
2019-11-18T00:00:00.000Z,37.47,37.47,37.47,37.47,0.0
2019-11-19T00:00:00.000Z,37.43,37.43,37.43,37.43,0.0
2019-11-20T00:00:00.000Z,36.87,36.87,36.87,36.87,0.0
2019-11-21T00:00:00.000Z,36.91,36.91,36.91,36.91,0.0
2019-11-22T00:00:00.000Z,36.93,36.93,36.93,36.93,0.0
2019-11-25T00:00:00.000Z,37.32,37.32,37.32,37.32,0.0
2019-11-26T00:00:00.000Z,37.34,37.34,37.34,37.34,0.0
2019-11-27T00:00:00.000Z,37.48,37.48,37.48,37.48,0.0
2019-11-29T00:00:00.000Z,37.14,37.14,37.14,37.14,0.0
2019-12-02T00:00:00.000Z,37.13,37.13,37.13,37.13,0.0
2019-12-03T00:00:00.000Z,36.79,36.79,36.79,36.79,0.0
2019-12-04T00:00:00.000Z,36.97,36.97,36.97,36.97,0.0
2019-12-05T00:00:00.000Z,36.96,36.96,36.96,36.96,0.0
2019-12-06T00:00:00.000Z,37.24,37.24,37.24,37.24,0.0
2019-12-09T00:00:00.000Z,37.09,37.09,37.09,37.09,0.0
2019-12-10T00:00:00.000Z,37.31,37.31,37.31,37.31,0.0
2019-12-11T00:00:00.000Z,37.56,37.56,37.56,37.56,0.0
2019-12-12T00:00:00.000Z,38.0,38.0,38.0,38.0,0.0
2019-12-13T00:00:00.000Z,37.74,37.74,37.74,37.74,0.0
2019-12-16T00:00:00.000Z,38.32,38.32,38.32,38.32,0.0
2019-12-17T00:00:00.000Z,38.45,38.45,38.45,38.45,0.0
2019-12-18T00:00:00.000Z,38.78,38.78,38.78,38.78,0.0
