date,open,high,low,close,volume
2019-11-05T00:00:00.000Z,18.6,18.6,18.6,18.6,0.0
2019-11-06T00:00:00.000Z,18.71,18.71,18.71,18.71,0.0
2019-11-07T00:00:00.000Z,18.86,18.86,18.86,18.86,0.0
2019-11-08T00:00:00.000Z,18.92,18.92,18.92,18.92,0.0
2019-11-11T00:00:00.000Z,19.06,19.06,19.06,19.06,0.0
2019-11-12T00:00:00.000Z,19.07,19.07,19.07,19.07,0.0
2019-11-13T00:00:00.000Z,19.19,19.19,19.19,19.19,0.0
2019-11-14T00:00:00.000Z,19.31,19.31,19.31,19.31,0.0
2019-11-15T00:00:00.000Z,19.43,19.43,19.43,19.43,0.0
2019-11-18T00:00:00.000Z,19.42,19.42,19.42,19.42,0.0
2019-11-19T00:00:00.000Z,19.36,19.36,19.36,19.36,0.0
2019-11-20T00:00:00.000Z,19.37,19.37,19.37,19.37,0.0
2019-11-21T00:00:00.000Z,19.22,19.22,19.22,19.22,0.0
2019-11-22T00:00:00.000Z,19.18,19.18,19.18,19.18,0.0
2019-11-25T00:00:00.000Z,19.25,19.25,19.25,19.25,0.0
2019-11-26T00:00:00.000Z,19.32,19.32,19.32,19.32,0.0
2019-11-27T00:00:00.000Z,19.31,19.31,19.31,19.31,0.0
2019-11-29T00:00:00.000Z,19.24,19.24,19.24,19.24,0.0
2019-12-02T00:00:00.000Z,18.89,18.89,18.89,18.89,0.0
2019-12-03T00:00:00.000Z,18.8,18.8,18.8,18.8,0.0
2019-12-04T00:00:00.000Z,18.91,18.91,18.91,18.91,0.0
2019-12-05T00:00:00.000Z,18.93,18.93,18.93,18.93,0.0
2019-12-06T00:00:00.000Z,19.13,19.13,19.13,19.13,0.0
2019-12-09T00:00:00.000Z,18.97,18.97,18.97,18.97,0.0
2019-12-10T00:00:00.000Z,18.95,18.95,18.95,18.95,0.0
2019-12-11T00:00:00.000Z,19.06,19.06,19.06,19.06,0.0
2019-12-12T00:00:00.000Z,19.07,19.07,19.07,19.07,0.0
2019-12-13T00:00:00.000Z,19.05,19.05,19.05,19.05,0.0
2019-12-16T00:00:00.000Z,18.95,18.95,18.95,18.95,0.0
2019-12-17T00:00:00.000Z,18.85,18.85,18.85,18.85,0.0
2019-12-18T00:00:00.000Z,18.7,18.7,18.7,18.7,0.0
2019-12-19T00:00:00.000Z,18.83,18.83,18.83,18.83,0.0
2019-12-20T00:00:00.000Z,18.5,18.5,18.5,18.5,0.0
2019-12-23T00:00:00.000Z,18.67,18.67,18.67,18.67,0.0
2019-12-24T00:00:00.000Z,18.6,18.6,18.6,18.6,0.0
2019-12-26T00:00:00.000Z,18.57,18.57,18.57,18.57,0.0
2019-12-27T00:00:00.000Z,18.46,18.46,18.46,18.46,0.0
2019-12-30T00:00:00.000Z,18.41,18.41,18.41,18.41,0.0
2019-12-31T00:00:00.000Z,18.34,18.34,18.34,18.34,0.0
2020-01-02T00:00:00.000Z,18.77,18.77,18.77,18.77,0.0
2020-01-03T00:00:00.000Z,19.07,19.07,19.07,19.07,0.0
2020-01-06T00:00:00.000Z,19.16,19.16,19.16,19.16,0.0
2020-01-07T00:00:00.000Z,19.2,19.2,19.2,19.2,0.0
2020-01-08T00:00:00.000Z,19.13,19.13,19.13,19.13,0.0
2020-01-09T00:00:00.000Z,19.32,19.32,19.32,19.32,0.0
2020-01-10T00:00:00.000Z,19.16,19.16,19.16,19.16,0.0
2020-01-13T00:00:00.000Z,19.34,19.34,19.34,19.34,0.0
2020-01-14T00:00:00.000Z,19.29,19.29,19.29,19.29,0.0
2020-01-15T00:00:00.000Z,19.38,19.38,19.38,19.38,0.0
2020-01-16T00:00:00.000Z,19.43,19.43,19.43,19.43,0.0
2020-01-17T00:00:00.000Z,19.34,19.34,19.34,19.34,0.0
2020-01-21T00:00:00.000Z,19.28,19.28,19.28,19.28,0.0
2020-01-22T00:00:00.000Z,19.15,19.15,19.15,19.15,0.0
2020-01-23T00:00:00.000Z,19.31,19.31,19.31,19.31,0.0
2020-01-24T00:00:00.000Z,19.31,19.31,19.31,19.31,0.0
2020-01-27T00:00:00.000Z,19.14,19.14,19.14,19.14,0.0
2020-01-28T00:00:00.000Z,19.32,19.32,19.32,19.32,0.0
2020-01-29T00:00:00.000Z,19.28,19.28,19.28,19.28,0.0
2020-01-30T00:00:00.000Z,19.31,19.31,19.31,19.31,0.0
2020-01-31T00:00:00.000Z,18.92,18.92,18.92,18.92,0.0
2020-02-03T00:00:00.000Z,18.92,18.92,18.92,18.92,0.0
2020-02-04T00:00:00.000Z,19.17,19.17,19.17,19.17,0.0
2020-02-05T00:00:00.000Z,19.37,19.37,19.37,19.37,0.0
2020-02-06T00:00:00.000Z,19.45,19.45,19.45,19.45,0.0
2020-02-07T00:00:00.000Z,19.45,19.45,19.45,19.45,0.0
2020-02-10T00:00:00.000Z,19.56,19.56,19.56,19.56,0.0
2020-02-11T00:00:00.000Z,19.6,19.6,19.6,19.6,0.0
2020-02-12T00:00:00.000Z,19.71,19.71,19.71,19.71,0.0
2020-02-13T00:00:00.000Z,19.68,19.68,19.68,19.68,0.0
2020-02-14T00:00:00.000Z,19.6,19.6,19.6,19.6,0.0
2020-02-18T00:00:00.000Z,19.49,19.49,19.49,19.49,0.0
2020-02-19T00:00:00.000Z,19.46,19.46,19.46,19.46,0.0
2020-02-20T00:00:00.000Z,19.25,19.25,19.25,19.25,0.0
2020-02-21T00:00:00.000Z,19.14,19.14,19.14,19.14,0.0
2020-02-24T00:00:00.000Z,18.59,18.59,18.59,18.59,0.0
2020-02-25T00:00:00.000Z,17.62,17.62,17.62,17.62,0.0
2020-02-26T00:00:00.000Z,17.49,17.49,17.49,17.49,0.0
2020-02-27T00:00:00.000Z,16.92,16.92,16.92,16.92,0.0
2020-02-28T00:00:00.000Z,16.61,16.61,16.61,16.61,0.0
2020-03-02T00:00:00.000Z,17.11,17.11,17.11,17.11,0.0
2020-03-03T00:00:00.000Z,16.87,16.87,16.87,16.87,0.0
2020-03-04T00:00:00.000Z,17.46,17.46,17.46,17.46,0.0
