date,open,high,low,close,volume
2019-11-11T00:00:00.000Z,15.47,15.6,15.45,15.51,146340.0
2019-11-12T00:00:00.000Z,15.54,15.59,15.47,15.52,131555.0
2019-11-13T00:00:00.000Z,15.45,15.58,15.4268,15.55,147192.0
2019-11-14T00:00:00.000Z,15.6,15.61,15.46,15.51,165619.0
2019-11-15T00:00:00.000Z,15.47,15.66,15.47,15.61,96972.0
2019-11-18T00:00:00.000Z,15.5,15.53,15.37,15.39,253605.0
2019-11-19T00:00:00.000Z,15.29,15.3056,15.1744,15.21,422814.0
2019-11-20T00:00:00.000Z,15.21,15.47,15.21,15.41,294367.0
2019-11-21T00:00:00.000Z,15.49,15.64,15.49,15.62,132547.0
2019-11-22T00:00:00.000Z,15.62,15.66,15.51,15.58,104728.0
2019-11-25T00:00:00.000Z,15.53,15.62,15.485,15.61,374393.0
2019-11-26T00:00:00.000Z,15.62,15.69,15.57,15.67,274794.0
2019-11-27T00:00:00.000Z,15.66,15.68,15.55,15.6,82482.0
2019-11-29T00:00:00.000Z,15.46,15.46,15.21,15.23,119914.0
2019-12-02T00:00:00.000Z,15.35,15.38,15.23,15.26,267808.0
2019-12-03T00:00:00.000Z,15.24,15.37,15.19,15.29,285962.0
2019-12-04T00:00:00.000Z,15.5,15.6,15.49,15.57,217775.0
2019-12-05T00:00:00.000Z,15.63,15.68,15.56,15.59,365336.0
2019-12-06T00:00:00.000Z,15.55,15.8,15.55,15.71,199078.0
2019-12-09T00:00:00.000Z,15.64,15.71,15.6192,15.68,114551.0
2019-12-10T00:00:00.000Z,15.69,15.7631,15.68,15.76,150697.0
2019-12-11T00:00:00.000Z,15.69,15.74,15.56,15.67,116983.0
2019-12-12T00:00:00.000Z,15.7,15.85,15.68,15.81,233313.0
2019-12-13T00:00:00.000Z,15.88,16.02,15.825,15.88,118665.0
2019-12-16T00:00:00.000Z,16.02,16.08,16.015,16.06,156085.0
2019-12-17T00:00:00.000Z,15.97,16.175,15.97,16.15,1976383.0
2019-12-18T00:00:00.000Z,16.06,16.2,16.05,16.15,1411211.0
2019-12-19T00:00:00.000Z,16.18,16.23,16.16,16.17,232577.0
2019-12-20T00:00:00.000Z,16.17,16.2,16.1,16.13,141425.0
2019-12-23T00:00:00.000Z,16.01,16.17,16.0,16.17,247231.0
2019-12-24T00:00:00.000Z,16.1,16.25,16.1,16.24,106112.0
2019-12-26T00:00:00.000Z,16.29,16.39,16.265,16.39,405127.0
2019-12-27T00:00:00.000Z,16.41,16.41,16.335,16.38,512948.0
2019-12-30T00:00:00.000Z,16.48,16.5,16.28,16.33,408706.0
2019-12-31T00:00:00.000Z,16.24,16.32,16.19,16.21,1287618.0
2020-01-02T00:00:00.000Z,16.39,16.39,16.195,16.29,1537509.0
2020-01-03T00:00:00.000Z,16.54,16.61,16.42,16.51,429128.0
2020-01-06T00:00:00.000Z,16.61,16.61,16.475,16.51,280509.0
2020-01-07T00:00:00.000Z,16.43,16.5,16.38,16.46,255345.0
2020-01-08T00:00:00.000Z,16.44,16.4495,15.98,16.15,834991.0
2020-01-09T00:00:00.000Z,16.03,16.075,15.92,16.03,259720.0
2020-01-10T00:00:00.000Z,16.05,16.07,15.98,16.02,207708.0
2020-01-13T00:00:00.000Z,16.01,16.01,15.83,15.86,296177.0
2020-01-14T00:00:00.000Z,15.96,15.9969,15.92,15.95,309233.0
2020-01-15T00:00:00.000Z,15.92,15.92,15.7737,15.87,264163.0
2020-01-16T00:00:00.000Z,15.84,15.91,15.83,15.85,368164.0
2020-01-17T00:00:00.000Z,15.88,15.93,15.8299,15.91,257180.0
2020-01-21T00:00:00.000Z,15.83,15.88,15.79,15.81,165885.0
2020-01-22T00:00:00.000Z,15.7,15.7,15.545,15.58,268777.0
2020-01-23T00:00:00.000Z,15.39,15.43,15.3,15.41,243266.0
2020-01-24T00:00:00.000Z,15.24,15.25,15.08,15.15,633746.0
2020-01-27T00:00:00.000Z,14.88,14.89,14.74,14.79,310726.0
2020-01-28T00:00:00.000Z,14.83,14.975,14.81,14.92,260681.0
2020-01-29T00:00:00.000Z,14.93,14.93,14.81,14.83,215601.0
2020-01-30T00:00:00.000Z,14.61,14.71,14.51,14.68,599330.0
2020-01-31T00:00:00.000Z,14.51,14.61,14.41,14.49,909929.0
2020-02-03T00:00:00.000Z,14.17,14.43,14.135,14.16,1887549.0
2020-02-04T00:00:00.000Z,14.32,14.3568,14.14,14.18,344217.0
