date,open,high,low,close,volume
2019-11-11T00:00:00.000Z,157.08,157.78,156.81,157.48,109482.0
2019-11-12T00:00:00.000Z,157.71,158.4626,157.33,157.51,82754.0
2019-11-13T00:00:00.000Z,156.55,156.8699,155.9,156.51,96169.0
2019-11-14T00:00:00.000Z,156.35,157.2089,156.07,156.25,121409.0
2019-11-15T00:00:00.000Z,157.33,157.35,156.12,156.71,131951.0
2019-11-18T00:00:00.000Z,156.6,156.83,155.6,156.14,146495.0
2019-11-19T00:00:00.000Z,156.75,156.75,155.6,156.01,87620.0
2019-11-20T00:00:00.000Z,155.51,156.2134,154.0501,154.97,178391.0
2019-11-21T00:00:00.000Z,155.26,155.26,153.61,154.12,88740.0
2019-11-22T00:00:00.000Z,154.75,154.98,153.9,154.46,236239.0
2019-11-25T00:00:00.000Z,155.25,158.56,155.1421,158.14,210923.0
2019-11-26T00:00:00.000Z,158.2,158.9,157.63,157.8,178991.0
2019-11-27T00:00:00.000Z,158.37,158.9,158.0545,158.47,340190.0
2019-11-29T00:00:00.000Z,158.05,158.2,157.16,157.35,85919.0
2019-12-02T00:00:00.000Z,157.61,157.7779,155.46,155.63,159909.0
2019-12-03T00:00:00.000Z,154.43,154.71,153.18,154.63,186374.0
2019-12-04T00:00:00.000Z,155.43,156.75,155.43,155.89,98131.0
2019-12-05T00:00:00.000Z,156.38,156.8147,156.06,156.57,96189.0
2019-12-06T00:00:00.000Z,158.18,159.69,158.16,158.94,158795.0
2019-12-09T00:00:00.000Z,158.88,159.2781,158.58,158.66,107675.0
2019-12-10T00:00:00.000Z,158.59,158.98,158.0842,158.46,118321.0
2019-12-11T00:00:00.000Z,158.84,159.055,158.14,158.77,98388.0
2019-12-12T00:00:00.000Z,158.9,161.24,158.26,160.57,168437.0
2019-12-13T00:00:00.000Z,160.53,161.1,158.8495,159.39,116850.0
2019-12-16T00:00:00.000Z,159.58,160.57,158.92,158.98,260445.0
2019-12-17T00:00:00.000Z,159.35,160.43,159.28,160.32,142868.0
2019-12-18T00:00:00.000Z,160.82,161.22,160.04,161.0,174091.0
2019-12-19T00:00:00.000Z,161.04,161.09,160.47,161.09,141046.0
2019-12-20T00:00:00.000Z,161.71,161.71,160.6139,160.92,109662.0
2019-12-23T00:00:00.000Z,161.15,161.15,160.2912,160.8,304935.0
2019-12-24T00:00:00.000Z,160.85,161.19,160.72,160.98,45177.0
2019-12-26T00:00:00.000Z,161.3,161.31,160.66,161.0,48282.0
2019-12-27T00:00:00.000Z,161.57,161.57,159.94,160.22,81171.0
2019-12-30T00:00:00.000Z,160.54,161.25,159.61,160.26,176117.0
2019-12-31T00:00:00.000Z,160.06,161.41,160.06,160.8,112177.0
2020-01-02T00:00:00.000Z,161.87,161.87,159.3,160.75,265152.0
2020-01-03T00:00:00.000Z,159.26,160.6388,159.18,160.42,139873.0
2020-01-06T00:00:00.000Z,159.15,160.7215,158.57,160.55,161299.0
2020-01-07T00:00:00.000Z,159.95,160.0836,158.76,159.21,118768.0
2020-01-08T00:00:00.000Z,159.27,160.1199,158.83,159.21,232766.0
2020-01-09T00:00:00.000Z,160.07,160.07,158.6707,158.85,166408.0
2020-01-10T00:00:00.000Z,158.94,158.94,157.2202,157.97,142030.0
2020-01-13T00:00:00.000Z,158.05,159.08,157.09,159.05,162519.0
