date,open,high,low,close,volume
2019-11-11T00:00:00.000Z,91.1,91.62,91.1,91.37,3298677.0
2019-11-12T00:00:00.000Z,91.39,91.93,90.64,90.73,6295088.0
2019-11-13T00:00:00.000Z,90.84,91.68,90.8,91.47,6769898.0
2019-11-14T00:00:00.000Z,91.73,92.2,91.5302,92.2,5279268.0
2019-11-15T00:00:00.000Z,92.28,92.71,92.075,92.69,5708094.0
2019-11-18T00:00:00.000Z,92.77,93.58,92.71,93.17,5443551.0
2019-11-19T00:00:00.000Z,93.39,93.58,93.09,93.29,4940500.0
2019-11-20T00:00:00.000Z,93.33,93.6,92.89,93.27,5369464.0
2019-11-21T00:00:00.000Z,93.03,93.14,91.99,91.99,9731622.0
2019-11-22T00:00:00.000Z,92.25,92.26,91.22,91.69,6332171.0
2019-11-25T00:00:00.000Z,91.89,92.51,91.85,92.05,6355391.0
2019-11-26T00:00:00.000Z,92.2,93.29,92.14,93.16,8516971.0
2019-11-27T00:00:00.000Z,93.22,93.69,92.95,93.46,6540119.0
2019-11-29T00:00:00.000Z,93.55,93.97,93.17,93.2,5384555.0
2019-12-02T00:00:00.000Z,93.1,93.1675,91.8,91.82,1.5928921E7
2019-12-03T00:00:00.000Z,91.75,92.51,91.69,92.38,8011814.0
2019-12-04T00:00:00.000Z,92.19,93.08,92.1,92.74,8346603.0
2019-12-05T00:00:00.000Z,92.56,92.86,92.2925,92.82,8041997.0
2019-12-06T00:00:00.000Z,92.75,93.46,92.73,92.98,5488454.0
2019-12-09T00:00:00.000Z,93.08,93.34,92.735,93.17,4989229.0
2019-12-10T00:00:00.000Z,93.27,93.4,92.415,92.61,7777379.0
2019-12-11T00:00:00.000Z,92.58,92.73,91.425,91.71,1.075144E7
2019-12-12T00:00:00.000Z,91.75,92.05,90.37,90.51,1.2400637E7
2019-12-13T00:00:00.000Z,90.66,90.98,89.92,90.6,8506746.0
2019-12-16T00:00:00.000Z,89.92,90.56,89.39,90.29,9229091.0
2019-12-17T00:00:00.000Z,90.55,90.68,89.45,89.52,5680018.0
2019-12-18T00:00:00.000Z,89.59,90.83,89.59,90.68,7373344.0
2019-12-19T00:00:00.000Z,90.56,91.47,90.47,91.43,5837708.0
2019-12-20T00:00:00.000Z,91.71,92.33,91.54,92.0,1.1474626E7
2019-12-23T00:00:00.000Z,92.32,92.42,91.43,91.48,5863117.0
2019-12-24T00:00:00.000Z,91.78,91.91,91.41,91.73,2597637.0
2019-12-26T00:00:00.000Z,91.84,92.22,91.7,92.22,3042648.0
2019-12-27T00:00:00.000Z,92.3,92.63,92.16,92.47,4802752.0
2019-12-30T00:00:00.000Z,92.21,92.7425,92.03,92.54,6634397.0
2019-12-31T00:00:00.000Z,92.47,93.18,92.27,93.08,6703008.0
2020-01-02T00:00:00.000Z,93.44,93.54,91.6,92.05,1.0936788E7
2020-01-03T00:00:00.000Z,91.8,92.935,91.55,92.71,7953859.0
2020-01-06T00:00:00.000Z,92.57,93.13,92.34,92.79,6055361.0
2020-01-07T00:00:00.000Z,92.58,92.58,91.385,91.85,7431550.0
2020-01-08T00:00:00.000Z,91.91,92.33,91.62,92.07,6224567.0
2020-01-09T00:00:00.000Z,92.09,92.3956,91.87,92.12,5057788.0
2020-01-10T00:00:00.000Z,92.3,92.97,92.1,92.92,7226812.0
2020-01-13T00:00:00.000Z,93.12,93.93,92.96,93.91,8778267.0
2020-01-14T00:00:00.000Z,93.92,93.92,93.09,93.55,4770644.0
2020-01-15T00:00:00.000Z,93.83,94.61,93.8,94.38,8431652.0
2020-01-16T00:00:00.000Z,94.57,95.12,94.39,95.08,5844226.0
2020-01-17T00:00:00.000Z,95.0,95.525,95.0,95.19,5833309.0
2020-01-21T00:00:00.000Z,95.33,96.18,95.1,96.16,7160736.0
2020-01-22T00:00:00.000Z,96.35,96.62,95.355,95.61,7816016.0
2020-01-23T00:00:00.000Z,95.66,96.26,95.23,96.18,6064641.0
2020-01-24T00:00:00.000Z,96.33,96.53,95.63,95.96,3984307.0
2020-01-27T00:00:00.000Z,95.43,95.76,95.2,95.5,4866465.0
2020-01-28T00:00:00.000Z,95.6,96.165,95.475,95.91,6030663.0
2020-01-29T00:00:00.000Z,96.13,96.31,95.46,95.61,4804694.0
2020-01-30T00:00:00.000Z,95.24,95.85,95.17,95.73,7056714.0
2020-01-31T00:00:00.000Z,95.54,95.7,94.3,94.57,7803931.0
2020-02-03T00:00:00.000Z,94.71,95.565,94.56,94.86,1.0801619E7
2020-02-04T00:00:00.000Z,95.11,96.22,94.92,95.83,6893367.0
2020-02-05T00:00:00.000Z,95.915,96.23,95.65,95.85,8037223.0
2020-02-06T00:00:00.000Z,96.15,96.46,95.99,96.21,5207408.0
2020-02-07T00:00:00.000Z,96.29,96.41,95.945,96.17,4246654.0
2020-02-10T00:00:00.000Z,96.6,97.22,96.38,97.14,6183277.0
2020-02-11T00:00:00.000Z,97.45,98.5,97.45,97.93,7281703.0
2020-02-12T00:00:00.000Z,98.17,98.96,97.84,98.71,5726324.0
2020-02-13T00:00:00.000Z,98.5271,99.455,98.49,99.38,6022771.0
2020-02-14T00:00:00.000Z,99.49,100.31,99.36,100.28,4262588.0
2020-02-18T00:00:00.000Z,100.36,100.4,99.65,100.21,5860020.0
2020-02-19T00:00:00.000Z,100.23,100.75,98.9,98.95,7103498.0
2020-02-20T00:00:00.000Z,99.11,100.06,98.69,100.02,8792600.0
2020-02-21T00:00:00.000Z,99.79,100.39,99.79,100.21,6280122.0
2020-02-24T00:00:00.000Z,99.0,99.77,98.43,98.87,7525658.0
2020-02-25T00:00:00.000Z,99.07,99.29,95.96,96.22,9336372.0
2020-02-26T00:00:00.000Z,96.41,97.16,95.14,95.21,1.225929E7
2020-02-27T00:00:00.000Z,93.98,93.98,90.19,90.22,1.895186E7
2020-02-28T00:00:00.000Z,88.43,88.89,85.32,87.4,3.4731424E7
2020-03-02T00:00:00.000Z,88.49,91.96,87.96,91.61,2.134204E7
2020-03-03T00:00:00.000Z,91.9,94.16,90.89,91.62,2.0703684E7
2020-03-04T00:00:00.000Z,93.07,95.29,92.96,95.12,1.2692272E7
2020-03-05T00:00:00.000Z,93.7,94.31,92.04,93.05,1.2085973E7
2020-03-06T00:00:00.000Z,90.77,91.805,88.59,91.47,1.6538847E7
2020-03-09T00:00:00.000Z,85.15,87.39,84.1,84.69,1.4645851E7
2020-03-10T00:00:00.000Z,86.79,88.18,83.3956,87.96,1.8279814E7
