date,open,high,low,close,volume
2019-11-15T00:00:00.000Z,138.03,138.4208,137.971,138.21,1.010669E7
2019-11-18T00:00:00.000Z,138.44,138.85,138.3,138.62,5717762.0
2019-11-19T00:00:00.000Z,138.13,138.9716,138.13,138.69,4819651.0
2019-11-20T00:00:00.000Z,138.53,139.0,138.1,138.76,6864781.0
2019-11-21T00:00:00.000Z,138.39,138.56,137.77,138.0,4196464.0
2019-11-22T00:00:00.000Z,138.37,138.46,137.66,137.74,3620266.0
2019-11-25T00:00:00.000Z,137.32,137.62,136.99,137.08,6468727.0
2019-11-26T00:00:00.000Z,136.98,137.8,136.58,137.74,4724383.0
2019-11-27T00:00:00.000Z,137.03,137.21,136.83,137.01,4106004.0
2019-11-29T00:00:00.000Z,137.1,138.1341,137.08,137.86,4516421.0
2019-12-02T00:00:00.000Z,137.314,138.09,137.3,137.79,8274464.0
2019-12-03T00:00:00.000Z,139.06,139.57,138.97,139.11,8500626.0
2019-12-04T00:00:00.000Z,139.16,139.165,138.59,138.92,6322253.0
2019-12-05T00:00:00.000Z,138.8,139.45,138.79,139.0,5661533.0
2019-12-06T00:00:00.000Z,137.76,137.8262,137.4,137.62,8714531.0
2019-12-09T00:00:00.000Z,137.81,137.81,137.45,137.58,2711506.0
2019-12-10T00:00:00.000Z,138.25,138.33,137.74,137.97,3240667.0
2019-12-11T00:00:00.000Z,138.2,139.3,138.1201,138.92,6051297.0
2019-12-12T00:00:00.000Z,139.78,139.85,137.88,138.43,8809561.0
2019-12-13T00:00:00.000Z,138.52,139.21,137.98,139.05,6964255.0
2019-12-16T00:00:00.000Z,139.2,139.39,138.8,139.04,4645603.0
2019-12-17T00:00:00.000Z,139.04,139.3,138.851,139.01,4287398.0
2019-12-18T00:00:00.000Z,138.86,139.25,138.81,139.02,3607526.0
2019-12-19T00:00:00.000Z,139.0421,139.55,138.87,139.38,4974681.0
2019-12-20T00:00:00.000Z,139.3705,139.52,138.98,139.52,4446611.0
2019-12-23T00:00:00.000Z,139.53,139.96,139.53,139.95,5180814.0
2019-12-24T00:00:00.000Z,140.4401,141.33,140.43,141.27,5303698.0
2019-12-26T00:00:00.000Z,142.06,142.47,141.9062,142.38,8338329.0
2019-12-27T00:00:00.000Z,142.26,142.73,142.17,142.33,5119883.0
2019-12-30T00:00:00.000Z,142.57,142.8,142.46,142.63,4810215.0
2019-12-31T00:00:00.000Z,143.31,143.605,142.8,142.9,5312671.0
2020-01-02T00:00:00.000Z,143.86,144.21,143.4,143.95,7732710.0
2020-01-03T00:00:00.000Z,145.7713,146.32,145.4,145.86,1.2272707E7
2020-01-06T00:00:00.000Z,148.42,148.48,146.95,147.39,1.4397138E7
2020-01-07T00:00:00.000Z,147.57,148.14,147.43,147.97,7996704.0
2020-01-08T00:00:00.000Z,148.49,148.61,146.14,146.86,2.2247108E7
2020-01-09T00:00:00.000Z,146.07,146.41,145.44,146.03,1.0292147E7
2020-01-10T00:00:00.000Z,146.22,146.99,146.17,146.91,6183208.0
2020-01-13T00:00:00.000Z,146.35,146.38,145.78,145.82,7593771.0
2020-01-14T00:00:00.000Z,145.4005,145.81,145.082,145.69,6589676.0
2020-01-15T00:00:00.000Z,146.21,146.73,145.82,146.54,6498475.0
2020-01-16T00:00:00.000Z,146.2313,146.4658,145.755,146.31,6051756.0
2020-01-17T00:00:00.000Z,146.51,146.99,146.31,146.58,1.1119151E7
2020-01-21T00:00:00.000Z,145.77,146.86,145.551,146.74,6076269.0
2020-01-22T00:00:00.000Z,146.68,146.81,146.38,146.79,4772215.0
2020-01-23T00:00:00.000Z,147.0,147.62,146.62,147.12,8411937.0
2020-01-24T00:00:00.000Z,146.9221,148.38,146.89,147.98,9913786.0
2020-01-27T00:00:00.000Z,149.21,149.32,148.4575,148.99,9963178.0
2020-01-28T00:00:00.000Z,148.36,148.56,147.53,147.66,7507154.0
2020-01-29T00:00:00.000Z,147.7,148.56,147.61,148.46,5004617.0
2020-01-30T00:00:00.000Z,148.69,149.31,148.01,148.47,9117215.0
2020-01-31T00:00:00.000Z,148.88,149.68,148.81,149.33,1.4781354E7
2020-02-03T00:00:00.000Z,148.66,148.78,147.6802,148.36,9103481.0
2020-02-04T00:00:00.000Z,146.96,147.03,145.8,146.43,1.0501897E7
2020-02-05T00:00:00.000Z,146.38,146.81,146.16,146.61,6156860.0
2020-02-06T00:00:00.000Z,147.28,147.63,147.0,147.4,4807047.0
2020-02-07T00:00:00.000Z,147.83,148.18,147.335,147.79,6367355.0
2020-02-10T00:00:00.000Z,148.21,148.4464,147.91,148.17,5788476.0
2020-02-11T00:00:00.000Z,148.03,148.16,147.01,147.66,5173393.0
2020-02-12T00:00:00.000Z,147.42,147.81,147.1567,147.54,5008759.0
2020-02-13T00:00:00.000Z,148.24,148.58,147.9501,148.38,7080088.0
2020-02-14T00:00:00.000Z,148.74,149.13,148.63,149.0,5344151.0
2020-02-18T00:00:00.000Z,149.88,151.09,149.47,150.91,1.1523582E7
2020-02-19T00:00:00.000Z,150.9884,151.82,150.815,151.79,9240505.0
2020-02-20T00:00:00.000Z,152.0,152.83,151.95,152.41,8427774.0
2020-02-21T00:00:00.000Z,154.4057,155.2219,154.18,154.7,1.6344191E7
2020-02-24T00:00:00.000Z,158.36,158.53,155.36,156.09,2.707712E7
2020-02-25T00:00:00.000Z,155.12,156.08,152.91,153.3,2.8034252E7
2020-02-26T00:00:00.000Z,153.84,155.28,152.9,153.97,1.790283E7
2020-02-27T00:00:00.000Z,155.58,156.27,153.9,154.0,2.7842424E7
2020-02-28T00:00:00.000Z,152.71,152.77,147.05,148.38,4.269892E7
2020-03-02T00:00:00.000Z,149.97,150.73,149.04,149.2,1.6264343E7
2020-03-03T00:00:00.000Z,150.84,155.24,150.735,153.89,2.847312E7
2020-03-04T00:00:00.000Z,154.4,154.96,153.7,154.16,1.2271488E7
2020-03-05T00:00:00.000Z,156.06,157.62,155.72,157.49,1.7937636E7
2020-03-06T00:00:00.000Z,158.32,159.25,154.54,157.55,2.6934836E7
2020-03-09T00:00:00.000Z,158.5,159.37,156.33,157.81,2.4773134E7
2020-03-10T00:00:00.000Z,156.2303,156.41,154.39,154.48,1.868711E7
2020-03-11T00:00:00.000Z,156.26,156.5,153.61,153.93,1.7763824E7
2020-03-12T00:00:00.000Z,151.53,151.55,146.85,147.79,3.2836122E7
2020-03-13T00:00:00.000Z,149.42,149.6,141.58,143.28,3.5132872E7
2020-03-16T00:00:00.000Z,137.56,142.96,136.12,141.64,2.4368528E7
2020-03-17T00:00:00.000Z,140.18,146.2,139.93,143.56,2.4390448E7
2020-03-18T00:00:00.000Z,141.75,142.88,138.5,140.7,2.1891368E7
2020-03-19T00:00:00.000Z,139.0781,140.5,137.8503,138.04,2.077123E7
2020-03-20T00:00:00.000Z,140.7399,141.17,139.14,140.11,1.989616E7
2020-03-23T00:00:00.000Z,142.675,146.93,142.28,146.3,2.820558E7
2020-03-24T00:00:00.000Z,153.5,155.66,152.05,153.4,2.0601136E7
2020-03-25T00:00:00.000Z,152.58,152.878,151.01,151.3,1.6408181E7
2020-03-26T00:00:00.000Z,153.3,154.81,152.08,153.24,1.2744195E7
2020-03-27T00:00:00.000Z,153.0,153.55,152.0,152.25,9818063.0
2020-03-30T00:00:00.000Z,152.41,153.08,151.57,152.92,1.2064244E7
2020-03-31T00:00:00.000Z,151.36,151.8,147.97,148.05,1.3282011E7
2020-04-01T00:00:00.000Z,148.2,150.08,147.85,149.45,1.1789096E7
2020-04-02T00:00:00.000Z,151.2,152.5,150.7,151.9,9171702.0
2020-04-03T00:00:00.000Z,152.4097,153.09,151.66,152.65,8466802.0
2020-04-06T00:00:00.000Z,154.1699,157.22,153.96,156.88,1.4636349E7
2020-04-07T00:00:00.000Z,155.33,156.14,154.38,156.04,9167837.0
2020-04-08T00:00:00.000Z,155.91,155.94,154.59,154.65,7589797.0
2020-04-09T00:00:00.000Z,158.08,159.08,157.21,158.58,1.7999736E7
